"MGJ1"	"MGJ10"	"MGJ11"	"MGJ12"	"MGJ13"	"MGJ14"	"MGJ15"	"MGJ16"	"MGJ17"	"MGJ18"	"MGJ19"	"MGJ2"	"MGJ20"	"MGJ21"	"MGJ22"	"MGJ23"	"MGJ24"	"MGJ29"	"MGJ3"	"MGJ4"	"MGJ5"	"MGJ6"	"MGJ7"	"MGJ8"	"MGJ9"
"K00065"	3.32334353763942e-07	4.77411479512805e-07	1.67364821216982e-06	1.75004807208675e-05	1.68209185852091e-06	4.89686120988941e-07	9.33455003322503e-07	5.65537859755197e-06	0	1.17675436423603e-05	1.88362792886618e-06	0	0	3.3865374544611e-06	7.49062283528153e-07	2.64070990524802e-06	4.55343520418892e-07	0	0	0	4.37998359191375e-07	0	1.31160450074562e-06	1.46357367793933e-06	1.07333574118068e-06
"K00067"	3.26892501418763e-05	3.08600105377421e-06	1.85439532210371e-05	2.31602154911081e-05	1.73857289322757e-06	1.93384278399803e-05	5.02620280785239e-05	7.57777158848072e-06	1.48729779355218e-05	8.88353741040892e-05	3.4530453521066e-05	7.32623132468233e-06	1.64081959893169e-05	8.47071684100578e-06	9.22525262084326e-05	6.16814679319822e-05	4.63818841013044e-05	1.5036873962589e-05	2.90114180525237e-05	6.88125856142281e-06	1.28907076726317e-05	2.36245487913975e-06	1.03760011767844e-05	1.554732044684e-05	1.04242926040876e-05
"K00068"	1.51465691541184e-06	2.6020965840167e-06	3.19287108283261e-06	2.59716330095572e-05	3.22310845434731e-06	2.19756236161884e-06	4.15580899787311e-06	1.48959561104372e-05	1.50711724155664e-06	2.23597162804341e-05	7.31980417974695e-06	7.28096721023995e-07	1.26387426945967e-06	1.25949870614552e-05	9.27898321034577e-06	1.97237099495022e-05	1.08264635319695e-05	1.29613810861632e-06	8.04867068220047e-07	9.66283541768607e-07	1.33001308094947e-06	8.28222950562977e-07	2.40935123351377e-06	3.840875059022e-06	1.6501233086591e-06
"K00073"	0	5.97464676460005e-07	8.96744853958453e-07	0	4.08021055356261e-07	0	3.11828510166692e-07	3.17535805621603e-07	0	4.98191837858168e-06	1.82458307629681e-06	0	0	0	3.59981282355772e-07	1.59494571024006e-06	0	0	0	0	5.36127733740792e-07	0	3.68531004500285e-07	0	7.83674254611031e-07
"K00074"	1.04393522096279e-05	3.17651515386023e-06	7.38677013576806e-06	1.27720151279958e-05	2.24856308604667e-06	8.94649111420724e-06	9.89238294638235e-06	8.34680675311163e-06	6.72669293691266e-06	2.29010112607649e-05	1.63786036692191e-05	6.26456326882608e-06	7.89267246827252e-06	9.47556344245221e-06	1.68997138989019e-05	2.81004948333092e-05	2.148707707582e-05	7.50657712901901e-06	6.36811487218782e-06	7.11945418203457e-06	1.01792096672115e-05	2.63646821093951e-06	9.71064225070567e-06	7.78998032349308e-06	6.55433965477733e-06
"K00075"	1.97038000005803e-05	5.89648101468489e-06	1.28148745433197e-05	3.00519214363209e-05	2.64024070440234e-06	1.49572244018407e-05	7.44158463094508e-05	9.46610775834203e-06	1.51414706157163e-05	0.000146399677453474	5.80466841190824e-05	7.02204346825598e-06	1.65536271090547e-05	8.23646572966762e-06	0.000119380375852972	8.65858215682174e-05	5.61824847487129e-05	1.93144855608178e-05	1.54894516001616e-05	6.73058964620189e-06	9.65734704285047e-06	2.55392379593014e-06	1.12925073846215e-05	1.12629761607198e-05	1.08398543448615e-05
"K00076"	4.60630231208207e-07	0	2.48988932015295e-06	0	2.94479544530226e-07	3.60439803708341e-06	0	1.43980968843095e-06	0	2.82347876516315e-06	1.26805515693726e-06	5.99732945980662e-07	0	1.28529953547755e-06	2.66829199193098e-07	2.00087368233776e-06	4.98534226507596e-07	0	0	0	9.43105026069509e-07	0	9.17057954671982e-07	0	5.49438623814554e-07
"K00077"	2.1460910282603e-05	4.00301125828627e-06	1.49142763302409e-05	2.15810923860615e-05	1.91623303668866e-06	1.76357643450958e-05	5.17963613883197e-05	9.87737268449558e-06	1.60963653618688e-05	0.00010101153140276	4.68819945304497e-05	8.92542794990566e-06	1.78213202337653e-05	1.19182919850351e-05	9.18595098998313e-05	7.15891583329748e-05	5.17162878547906e-05	1.85748508625179e-05	1.4834493603774e-05	8.15318776855424e-06	9.06976732499049e-06	3.1312496442669e-06	1.06493373104612e-05	1.29224840912356e-05	1.12569410096197e-05
"K00086"	1.09283848192117e-06	4.97866231742676e-07	9.91973643197596e-07	1.0118704226456e-06	0	1.27490647661286e-06	4.63139663777187e-06	9.7748030243245e-07	1.55182500904406e-06	7.62510232334238e-06	9.81402637241164e-07	0	2.35736068964679e-06	6.56480215755522e-07	6.25324110720984e-06	5.04415852978842e-06	4.56399260714941e-06	2.24822495369702e-06	3.23265736763854e-07	0	7.10957952944976e-07	2.47238268628727e-07	1.32594105785059e-06	7.70002126878452e-07	9.22967153299907e-07
"K00087"	2.73343040846178e-07	2.04531668388467e-07	3.21128568858738e-07	0	3.48283404570778e-07	0	0	3.49002372134872e-07	0	3.67148922025452e-06	5.34188064732923e-07	0	0	3.48221412898027e-07	4.2598562000694e-07	1.98431832262219e-06	0	0	0	0	2.98821785947516e-07	0	0	0	5.94914853261358e-07
"K00088"	0.000113269614754843	2.37584112027972e-05	0.000107411292225923	0.000117614195883096	1.90889399731413e-05	0.000100202948687501	0.000174937830276852	0.000105062425815519	0.000102006695524821	0.000245588250046284	0.000154645726621484	8.23561327291155e-05	0.000109636386226446	0.000111111758181384	0.000225359207392006	0.000201047788815262	0.000151415356828238	0.00010648238565761	0.000114316887225862	7.86336483241539e-05	7.976433951582e-05	2.47078828930629e-05	9.18390102049539e-05	9.12996650895658e-05	7.61501264754016e-05
"K00090"	1.95705150255612e-07	3.00246374146358e-07	5.26874535376511e-07	0	0	0	0	5.68267734799451e-07	0	6.08261084335691e-06	1.1526074145094e-06	0	0	3.93393390821718e-07	4.48100161388071e-07	1.33214082013942e-06	0	0	0	0	5.42602422321174e-07	0	0	0	8.02078210166179e-07
"K00094"	0	0	3.15133476190336e-07	0	2.49718618400986e-07	0	0	0	0	8.07328587250378e-07	4.26847520681857e-07	0	0	0	3.36572007164831e-07	1.61878967975302e-06	0	0	0	0	3.18190823307147e-07	0	0	0	4.64221776934548e-07
"K00097"	1.71020848737971e-05	3.20818691451088e-06	2.23733856742345e-05	2.10727231672031e-05	4.84745909397208e-06	1.90659494031683e-05	1.35220356202334e-05	2.1450658733098e-05	1.7687517418824e-05	1.50646829195263e-05	1.87771599124031e-05	1.47186519981117e-05	1.72376885834631e-05	2.16014150603705e-05	1.35928062857512e-05	9.77069971380357e-06	1.15280188962259e-05	1.71648155620657e-05	1.8731648636767e-05	1.09825108485949e-05	1.10984405235437e-05	3.76792887975037e-06	1.55188448743311e-05	1.44739001410925e-05	1.48007172664478e-05
"K00098"	0	0	0	0	3.45192190212791e-07	0	0	0	0	5.80122393538471e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24572438171458e-07
"K00099"	2.53095925375443e-05	4.01397363010237e-06	2.57599493230425e-05	2.28895139154347e-05	4.74280577837601e-06	2.35278982604393e-05	1.98001530726984e-05	2.52338200783215e-05	2.51650821409903e-05	1.70938593748332e-05	2.39063208396531e-05	2.10420642495822e-05	2.55227555238406e-05	2.77599524617148e-05	1.61800180509847e-05	2.39497644682785e-05	1.60139134565202e-05	2.20220130656288e-05	2.36855629428601e-05	1.72229120510603e-05	1.55510765019304e-05	5.45663411048535e-06	2.34609634443385e-05	1.89522358840324e-05	1.84513520971877e-05
"K00100"	3.89687074280554e-05	4.58396178063962e-06	3.90906294836517e-05	3.9541870333526e-05	5.57833620407037e-06	4.71087124780812e-05	4.33905520804221e-05	2.26730731433695e-05	2.51532709619183e-05	7.44389718032904e-05	5.89946227744693e-05	2.03712437125392e-05	2.88206189361447e-05	2.30354227322995e-05	7.45738944585372e-05	3.83882683488868e-05	8.88758494303974e-05	2.78452712926528e-05	2.87404599347398e-05	2.48337317195017e-05	1.89668379604762e-05	6.04938299130285e-06	2.45672244074759e-05	2.6443668494687e-05	2.32576294831825e-05
"K00101"	0	4.88057604698384e-07	1.40424303599791e-06	0	3.5067645097541e-07	0	4.26201579749781e-07	5.24243177596382e-07	0	5.93331319939466e-06	1.87439144804693e-06	0	0	4.59443906861242e-07	5.58640255461305e-07	6.26121855233322e-06	3.50400073738656e-07	0	0	0	5.52952871854193e-07	0	0	0	1.20549689006355e-06
