"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K09458",6276.23,2121.18,6638.86,6705.83,6749.82,4358.44,6863.3,3842.58,8273.07,6670.81,13247.85,5218.38,2503.96,12517.38,1193.18,3115.92,2410.32,1360.38,765.8,1792.37,890.69,1898.92,6053.33,8496.64,7765.73,6287.33,7451.16,5571.31,4985.82
"K09459",232.74,36.42,58.78,117.06,270.27,223.65,19.81,142.59,24.97,56.87,879.13,131.03,2.52,53.29,43.29,165.71,86.2,70.67,0.84,64.23,1.71,130.81,211.62,287.33,299.97,169.59,330.83,180.81,134.97
"K09461",115.08,25,11.08,31.25,100.07,189.11,8.19,22.22,4.09,23.53,169.42,200.42,24.33,16.67,12,18.55,90.66,49.34,14,2.44,10,41.5,92.5,152.16,215.61,209.19,98.98,48.24,102.36
"K09470",1090.59,517.06,1459.24,1199.24,1496.97,822.98,226.14,719.9,1054.31,709.99,4603.13,698.03,1511.38,5823.58,272.94,674.21,490.09,267.59,185.19,316.12,206.99,426.42,802.7,1676.67,1294.42,963.81,1417.38,1245.25,992
"K09471",1432.43,726.49,2074.44,1509.93,1544.03,914.86,337.8,793.8,1016.01,753.04,5239.49,812.8,1179.29,5086.92,341.19,964.74,580.38,332.1,203.79,386.96,224.32,508.38,839.31,1854.59,1380.39,1246.2,1575.21,1379.94,1147.6
"K09472",1163.43,620.71,1860.14,1259.81,1231.08,647.76,309.59,591.6,735.52,574.36,4101.77,671.61,722.14,3418.53,287.33,800.21,478.84,269.13,162.83,316.1,156.38,379.51,619.53,1474.89,1063.2,984.13,1220.93,1160.18,962.04
"K09473",611.71,364.44,1031.98,700.31,927.63,359.1,180.6,368.05,507.25,355.21,2137.62,401.87,585.1,2526.12,153.33,460.91,250.49,170.3,102.83,159.15,92,208.68,388.22,1009.88,695.7,540.02,724.65,586.09,575.54
"K09474",433.26,262.52,812.36,466.81,369,201.93,140.18,234.27,232.9,191.36,1405.57,268.2,120.3,895.92,110.68,382.61,179.34,125.6,60.03,128.2,94.2,144.68,229.77,508.43,371.68,361.77,423.92,334.29,308.29
"K09475",883.8,608.61,1796.48,1091.79,1195.22,472.97,463.1,469.55,722.42,501.14,2978.65,568.66,696.1,3404.79,222.33,751.91,355.41,233.38,161.33,235.9,146.5,261.85,471.98,1346.21,832.61,797.93,972.01,803.39,831.38
"K09476",724.89,395.53,1088.89,819.95,1164.73,449.44,362.36,445.2,523.17,382.91,2537.76,545.62,592.14,2548.53,198.99,565.92,300.41,214.47,105.45,269.49,105.33,257.76,583.09,1225.12,846.03,667.43,938.04,752.19,717.4
"K09477",324.81,147.56,268.88,348.1,725.14,260.19,66.19,562.45,303.48,219.47,1166.26,242.14,468.64,1658.63,73.58,203.58,132.97,87.67,48.08,93.11,57.87,119.94,236.42,710.46,423.23,333.86,564.53,428.4,365.25
"K09478",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,0
"K09482",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K09483",1.4,1.2,2.2,1.6,3.25,0.5,0,1.25,0,0,0.2,1,0,0.2,0.75,0,1,0.25,0,0.25,18.25,0.2,1,0,11.4,8.25,2,2.45,0.2
"K09516",2,1,3,0,4,0,0,1,0,1,1,13,0,0,0,1,0,0,0,0,0,0,1,17,9,2,3,4,2
"K09575",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,2.5,0,0,0,0,0.5,0
"K09607",66.62,15.5,15.3,51.69,104.31,29.51,7.93,34,3.94,15.27,120.87,176.42,16.33,4.67,13,13.43,89.96,50.44,0,1.33,2.1,23,61.75,133.03,128.87,96.98,114.29,49.32,118.53
