"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K07307",4.02815411180545e-05,3.18274852369434e-05,1.59757169102963e-05,5.56479930551305e-05,6.89384538695684e-05,6.84609385697022e-05,4.33221129060907e-06,3.23914298166056e-05,1.78138171091025e-05,6.90471833927714e-06,0.000101205014371112,0.000111271079056966,7.14855045268196e-06,0,4.88145048814505e-05,0.000226078796969086,9.68147933004163e-05,0.000145474409863759,3.2607490592739e-05,4.84535930445921e-05,2.97977007010586e-05,5.43731774254014e-05,8.06751285912656e-05,7.12721251977116e-05,5.71602774178797e-05
"K07306",0,1.22413404757475e-05,0,2.78239965275652e-06,5.3029579899668e-06,1.19062501860352e-05,0,0,3.5627634218205e-06,0,2.69880038322965e-05,2.72500601772162e-05,0,0,1.39470013947001e-05,2.91714576734304e-05,2.42036983251041e-05,4.75018481187784e-05,1.30429962370956e-05,8.4267118338421e-06,0,2.57557156225586e-05,2.20023077976179e-05,0,2.44972617505199e-05
"K07309",0,2.44826809514949e-06,0,0,0,2.97656254650879e-06,0,0,0,0,6.74700095807414e-06,6.81251504430406e-06,0,0,3.48675034867503e-06,7.2928644183576e-06,6.05092458127602e-06,1.18754620296946e-05,3.2607490592739e-06,2.10667795846052e-06,0,5.72349236056857e-06,4.88940173280397e-06,0,5.44383594455997e-06
"K07308",0,1.22413404757475e-05,2.66261948504939e-06,0,0,1.48828127325439e-05,0,0,3.5627634218205e-06,0,2.69880038322965e-05,2.95208985253176e-05,0,0,1.39470013947001e-05,2.91714576734304e-05,2.42036983251041e-05,4.75018481187784e-05,1.30429962370956e-05,8.4267118338421e-06,0,2.28939694422743e-05,2.20023077976179e-05,0,2.44972617505199e-05
"K02617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K02610",0,0,5.32523897009878e-06,5.56479930551305e-06,2.6514789949834e-06,0,4.33221129060907e-06,2.94467543787324e-06,7.125526843641e-06,3.45235916963857e-06,0,0,3.57427522634098e-06,8.5598849551462e-06,0,2.4309548061192e-06,3.02546229063801e-06,0,0,0,0,2.86174618028429e-06,0,0,0
"K02963",0.000816372566659237,0.000776100986162389,0.000758846553239077,0.000765159904508044,0.000792792219500037,0.000845343763208496,0.00097474754038704,0.000792117692787901,0.000833686640705997,0.000907970461614945,0.000819760616406008,0.000803876775227879,0.000782766274568674,0.000747563286082768,0.000784518828451883,0.000787629357182621,0.000822925743053539,0.000795655955989538,0.0008119265157592,0.000813177691965762,0.000793702391400925,0.000795565438119031,0.000833642995443078,0.000789475848343883,0.000808409637767156
"K02612",0,0,5.32523897009878e-06,5.56479930551305e-06,2.6514789949834e-06,0,4.33221129060907e-06,2.94467543787324e-06,7.125526843641e-06,3.45235916963857e-06,0,0,3.57427522634098e-06,8.5598849551462e-06,0,2.4309548061192e-06,3.02546229063801e-06,0,0,0,0,2.86174618028429e-06,0,0,0
"K02961",0.000639133785739797,0.000651239313309765,0.000729557738903533,0.000706729511800157,0.000694687496685651,0.000726281261348145,0.000966083117805822,0.000603658464764014,0.00078380795280051,0.00077332845399904,0.000786025611615637,0.00058814713215825,0.000782766274568674,0.000747563286082768,0.000739191073919107,0.000712269758192925,0.000717034562881208,0.000742216376855912,0.000688018051506792,0.000545629591241276,0.000633878360367975,0.000623860667301974,0.000633177524398115,0.000644190362363932,0.000675035657125437
"K09686",0.00188517612432495,0.00199778676564198,0.00213808344649466,0.00201167494894297,0.00181891459055861,0.0018960703421261,0.00207946141949235,0.00166079694696051,0.00206996554807771,0.00228891412947037,0.00200723278502706,0.0020187752914621,0.00177284051226513,0.00217706407359218,0.00176429567642957,0.00220244505434399,0.00200285603640236,0.00193866917634764,0.00186840921096394,0.00199713070462058,0.00172555775877949,0.00161116309950005,0.00190931137665995,0.00190241749566199,0.00194072751423563
"K09687",0.00341856012288555,0.00348633376749288,0.00392203850147775,0.00366163794302758,0.00326927360081453,0.00264318754129981,0.00239571284370681,0.00289167127999152,0.00353069855102412,0.00336259783122797,0.00166650923664431,0.00356294536817102,0.00343487849251368,0.00407165194366454,0.00198744769874477,0.00364400125437268,0.00224791848194404,0.00206039266215201,0.00274228995884935,0.00384679395214892,0.00336443129733771,0.00297907777367594,0.00336635309303554,0.00301535914298011,0.00318736594553987
"K09684",1.87980525217587e-05,1.46896085708969e-05,2.39635753654445e-05,3.61711954858348e-05,5.83325378896348e-05,2.08359378255615e-05,1.29966338718272e-05,3.53361052544789e-05,0.000178138171091025,4.833302837494e-05,3.37350047903707e-06,6.81251504430406e-06,1.78713761317049e-05,4.56527197607797e-05,0,2.4309548061192e-06,1.2101849162552e-05,0,3.91289887112868e-05,2.10667795846052e-05,2.97977007010586e-05,4.29261927042643e-05,3.17811112632258e-05,2.1929884676219e-05,2.17753437782399e-05
"K09685",0.000182609653068514,0.000151792621899268,0.000247623612109593,0.00013633758298507,0.000145831344724087,0.000110132814220825,0.000875106680703031,5.88935087574648e-05,0.000598544254865844,0.000562734544651087,2.69880038322965e-05,4.08750902658243e-05,0.0002180307888068,0.000136958159282339,6.27615062761506e-05,6.32048249590992e-05,3.93310097782941e-05,1.18754620296946e-05,0.000215209437912077,4.84535930445921e-05,8.93931021031759e-05,6.86819083268229e-05,8.31198294576676e-05,6.57896540286569e-05,0.00010071096497436
"K09682",0,0,2.66261948504939e-06,5.56479930551305e-06,0,0,4.33221129060907e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K09683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K09680",5.37087214907393e-05,3.18274852369434e-05,1.06504779401976e-05,6.12127923606435e-05,6.36354958796016e-05,0.000130968752046387,8.66442258121813e-06,8.53955876983239e-05,3.5627634218205e-06,2.07141550178314e-05,0.000202410028742224,4.99584436582297e-05,3.57427522634098e-06,4.2799424775731e-05,0.000132496513249651,9.96691470508872e-05,0.000172451350566367,0.000166256468415724,7.49972283632996e-05,5.47736269199736e-05,5.1468755756374e-05,5.72349236056857e-05,8.31198294576676e-05,9.86844810429853e-05,8.98232930852396e-05
"K09681",0,0,0,5.56479930551305e-06,2.6514789949834e-06,0,0,0,0,0,0,0,0,0,0,2.4309548061192e-06,0,0,0,0,0,0,2.44470086640199e-06,0,0
"K09688",2.68543607453696e-06,4.89653619029898e-06,2.66261948504939e-06,2.78239965275652e-06,7.95443698495021e-06,1.19062501860352e-05,0,2.94467543787324e-06,3.5627634218205e-06,0,3.37350047903707e-06,4.5416766962027e-06,0,0,0,0,0,0,3.2607490592739e-06,2.10667795846052e-06,2.70888188191442e-06,2.86174618028429e-06,4.88940173280397e-06,2.74123558452737e-06,0
"K09689",2.68543607453696e-06,4.89653619029898e-06,5.32523897009878e-06,2.78239965275652e-06,7.95443698495021e-06,1.19062501860352e-05,0,2.94467543787324e-06,3.5627634218205e-06,0,3.37350047903707e-06,4.5416766962027e-06,0,0,0,0,0,0,3.2607490592739e-06,2.10667795846052e-06,2.70888188191442e-06,2.86174618028429e-06,4.88940173280397e-06,2.74123558452737e-06,0
"K05962",0,2.44826809514949e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05961",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K05967",5.37087214907393e-06,2.20344128563454e-05,3.46140533056421e-05,2.78239965275652e-05,5.3029579899668e-06,0,4.33221129060907e-06,5.88935087574648e-06,3.91903976400255e-05,1.03570775089157e-05,3.37350047903707e-06,0,2.14456513580459e-05,0,0,2.4309548061192e-06,0,0,0,0,0,2.86174618028429e-06,2.44470086640199e-06,5.48247116905474e-06,8.16575391683996e-06
