"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K07262",275.72,718.06,123.2,879.24,114.85,200.13,442.43,433.5,325.96,567.26,208.85,510.06
"K07263",120.41,1206.73,250.34,239.08,393.33,329.91,1370.92,368.91,72.49,314.33,227.66,1094.65
"K07264",252.73,612.61,113.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,136.77,467.78
"K07265",1.75,396.75,24,711.75,21,68.25,36.25,75.25,216.5,362,20,325
"K07266",1.75,396.75,24,711.75,21,68.25,36.25,75.25,216.5,362,20,325
"K07267",8.79,36.65,10.77,40.28,29.29,14.27,44.7,98.58,17.13,29.07,43.98,67.28
"K07269",255.23,621.11,115.73,841.56,90.56,183.46,288.93,369.12,296.43,543.09,146.27,468.78
"K07270",0.75,1.75,6,0.75,3,2.25,0.25,0.25,0.5,1,9.33,1
"K07271",32,30,34,43,79,40,10,31,27,27,65.17,32.5
"K07272",17,15,16,36,42,35,8,18.5,12,9,48.5,13.5
"K07273",26.08,61.57,58.67,55.08,66.66,48.58,24.92,94.74,21.16,42,171.5,122
"K07274",513.88,840.31,210.29,974.37,148.12,298.17,506.61,626.32,368.53,716.35,264.21,604.24
"K07275",300.23,763.11,182.73,886.56,215.56,218.46,938.93,427.12,327.43,634.09,192.27,508.78
"K07276",34,68,51,20,113,4,648,40,28,79,31,28
"K07277",352.02,1584.76,280,1022.34,377.85,395.23,1012.63,673.7,380.56,972.66,362.75,1522.06
"K07278",323.23,849.11,226.23,980.06,280.56,326.96,953.93,560.12,321.43,649.59,282.77,1478.78
"K07279",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07282",861.9,631.7,403.6,304.9,520.26,1928.37,64.5,169.7,614,1176.77,284.2,699.04
"K07283",254.4,622.95,117.06,844.39,88.56,181.46,286.76,381.45,294.6,543.59,143.44,487.46
"K07284",1465.4,520.53,723.1,295.23,908.26,3410.37,81.33,403.2,1206.33,711.6,612.05,1494.04
"K07285",262.31,668.18,158.4,875.64,101.89,191.37,303.85,389.36,302.59,577.09,169.6,520.11
"K07286",264.23,645.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K07287",289.23,730.11,143.73,907.56,132.56,218.46,325.93,389.12,300.43,571.09,255.27,512.78
"K07289",265.23,724.11,134.23,884.06,115.56,197.96,320.93,478.12,308.43,575.59,184.77,530.78
"K07290",251.9,624.45,113.06,836.39,88.56,180.96,286.76,381.45,294.6,538.59,133.94,465.46
"K07291",17,0,6,1,0,0,1,1,0,0,2,0
"K07300",258.73,863.44,123.73,863.89,116.89,247.96,297.26,403.12,302.76,859.09,161.77,498.95
"K07301",469.23,1595.27,319.73,1213.39,413.56,498.28,984.26,709.45,377.76,1141.09,443.27,1618.28
"K07302",47.49,115.95,51.47,42.68,137.29,19.67,799.5,88.38,42.53,47.17,69.58,42.28
"K07303",47.49,119.95,52.47,54.68,149.29,22.67,806.5,131.38,49.53,50.17,74.58,69.28
"K07304",1075.13,1268.72,650.83,1213.54,911.49,2336.57,1669.51,797.15,939.76,1252.19,671.65,2328.65
"K07305",1044.63,1319.39,583.83,1185.21,779.16,2268.54,1021.18,704.35,924.43,1437.19,657.81,1377.48
"K07306",231.41,943.5,122.59,1499.71,82.27,179.29,169.26,360.07,482.07,844.42,90.36,745.18
"K07307",458.82,1113.38,207.93,1587.17,128.42,277.58,263.76,595.77,530.14,993.09,130.47,839.86
"K07308",231.41,943.5,122.59,1499.71,82.27,179.29,169.26,360.07,482.07,849.42,90.36,745.18
"K07309",280.91,273.5,126.59,151.71,71.27,174.79,165.26,413.07,85.07,253.42,49.86,173.18
"K07310",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07312",227.41,170.5,85.59,87.71,46.27,98.29,97.26,236.07,48.07,145.42,40.36,96.18
"K07313",294.41,1017,185.09,1560.38,242.6,234.29,839.43,410.07,507.07,875.59,185.53,774.85
"K07314",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07315",65,756.16,53.5,92.16,112.33,130.33,45.66,183,32.66,232,205,987.17
"K07316",166.3,3.88,5.2,10.17,14.19,13.68,10.25,181.62,4.74,22.88,209.01,190.75
"K07318",55.33,127.83,41.67,80.01,24.33,79,44.33,180.34,37.67,108.66,6.17,78.5
"K07319",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07320",289.23,756.11,152.73,923.56,134.56,219.46,300.93,458.12,301.43,602.09,272.27,563.78
"K07321",670.5,107.99,324,86,388,1657,21,13.99,576,26.17,9.5,485
"K07322",254.23,703.61,114.73,848.39,105.89,193.63,301.76,379.12,296.93,542.92,139.27,472.95
"K07323",330.23,897.11,229.73,987.56,280.56,330.46,950.93,576.12,335.43,706.09,313.27,1483.78
"K07325",0,1.33,4,7,2,6.99,4,1.33,2,19.34,4,13
"K07328",0,0,0,0,0,4.66,0,0,0,0,0,0
"K07329",0,0,2,3,0,2.33,0,0,2,1.34,0,1
"K07330",0,1,4,6,2,2.33,4,0,2,18.34,4,13
"K07331",0,1,4,7,2,2.33,4,0,2,19.01,4,13
"K07332",0,40.58,39,238.75,26,18.24,14.25,29.33,15,108.01,30,87.5
"K07333",0,25.58,37,145.75,24,18.24,9.25,21.33,16,83.01,17,56.5
"K07334",188.4,406.18,42.1,758.27,70.59,52.08,55.25,186.32,235.74,361.11,200.31,459.05
"K07335",735.9,369.28,387.1,256.98,508.93,1758.77,63.58,381.2,608.33,511.1,688.87,1001.37
"K07336",32.58,115.57,85.17,31.08,125.33,9.91,681.92,33.24,19.16,44.5,27.33,30.33
"K07337",264.23,634.11,121.73,853.56,96.56,185.46,313.93,369.12,298.43,546.09,153.27,469.78
"K07338",2.5,22.5,2,1,0,14.5,0,8,0,2,9.5,1
"K07339",59.58,143.07,87.67,83.08,43.33,85.41,58.92,183.24,46.16,132,27.83,85.33
"K07340",313.23,777.11,194.73,927.56,237.56,222.46,940.43,467.12,313.43,691.09,271.27,544.28
"K07341",872.9,521.51,381.6,843.1,483.59,1718.24,113.58,221.82,816.07,392.78,222.31,1008.05
"K07342",0,24.58,4,135.75,14,14.58,5.25,20.33,1,58,13,37.5
"K07343",257.73,629.61,118.23,845.06,90.56,184.46,288.93,369.12,296.43,547.09,157.77,469.78
"K07344",50.5,100,41,64,23,76.5,43,177,37,107,5.5,77
"K07345",754.78,4166.93,581.39,6731.73,386.71,607.1,1107.88,1369.18,2175.91,3685.77,564.06,3291.42
"K07346",497.22,3483.18,363.99,5872.18,270.66,504.66,626.94,1051.93,1867.66,3106.34,361.96,2832.79
"K07347",1904.33,5318.9,888.05,7857.56,609.67,1190.08,1564.39,2664.01,2632.98,4712.29,764.2,4104.1
"K07348",231.66,542.75,110.09,789.46,67.27,115.54,134.51,293.32,264.57,479.92,68.36,417.18
"K07349",255.15,587.7,128.06,815.14,80.06,140.71,285.01,323.2,290.6,508.59,156.94,436.96
"K07350",230.91,542,105.09,788.71,64.27,113.29,134.26,293.07,264.07,478.92,68.36,417.18
"K07351",451.74,298.31,132.76,156.09,78.59,180.17,151.84,457.03,86.48,257.59,58.14,179.03
"K07352",3,0,0,0,0,0,0,0,0,0,4,0
"K07354",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07355",0.75,0.75,5,0.75,3,2.25,0.25,0.25,0.5,1,0,0
"K07356",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07357",250.61,203.03,81.16,112.09,56.02,117.32,238.04,255.79,64.07,156.66,123.59,114.91
"K07358",226.41,173.5,85.09,87.71,47.77,89.79,122.26,227.57,44.57,140.92,36.36,92.68
"K07386",153.73,376.03,96.27,233.41,148.93,500.5,84.33,458.24,68.67,713.26,437.71,458.7
"K07387",257.31,670.18,152.4,869.47,113.89,190.87,333.68,425.36,309.09,564.92,163.6,500.11
"K07388",0,2.33,3,2,6,0,0,2.33,3,5,0,2
"K07389",8.12,39.31,8.94,31.28,15.29,16.77,11.7,56.25,11.46,26.9,34.81,42.6
"K07390",325.23,874.36,216.23,987.81,254.56,243.54,950.18,520.12,335.43,705.59,306.77,599.28
"K07391",1222.13,1927.64,671.83,1179.79,821.16,2459.79,1031.76,772.52,975.76,1631.69,426.47,2254.48
"K07392",0,2.33,1,1,6,0,0,2.33,1,5,0,1
"K07393",1007.46,866.22,529,1038.71,643.16,2135.04,976.18,439.19,902.76,885.52,238.3,1121.8
"K07394",11.5,54.5,9,35,28,49.5,1,7,2,13,95.5,21
"K07395",36.79,554.65,90.77,770.28,153.29,89.27,722.7,155.58,240.13,417.07,58.98,398.28
"K07396",33.82,497.11,37.14,765.85,48.62,87.84,191.67,133.05,250.36,404.67,116.91,374.77
"K07397",339.63,854.97,204.33,942.29,262.16,272.79,984.76,502.85,323.76,717.02,291.47,565.15
"K07398",0,19.58,16,136.75,9,13.58,5.25,19.33,5,55,13,38.5
"K07399",722.9,592.7,363.6,175.4,472.93,2038.67,56.5,69.4,594,1259.1,231.7,668.87
"K07400",266.23,665.11,133.73,882.56,118.56,216.46,290.93,388.12,299.43,558.09,232.27,509.78
"K07401",253.12,197.66,66.19,148.99,57.23,408.06,92.62,266.41,46.37,175.99,68.51,203.63
"K07402",1074.37,1575,633.8,434.88,766.78,2338.4,1114.51,627.27,734.62,1033.86,336.55,1831.27
"K07403",129,847.66,115,188.33,173,231.33,39.33,230.33,59.33,419,175,1069
"K07404",286.06,727.77,142.9,902.06,155.89,233.63,301.93,471.79,318.76,568.42,335.94,602.77
"K07405",0,6.33,15,5,3,1,4,1.33,5,19,4,14
"K07406",321.19,245.6,125.33,157.67,85.85,129.23,266.46,360.03,86.73,194.16,148.92,178.74
"K07407",817.22,240.31,377.74,211.25,471.39,1756.37,214.67,148.75,637.86,163.77,181.12,583.8
"K07442",764.9,340.45,386.6,288.15,456.6,2005.08,51.75,89.4,595,539.1,110.7,699.2
"K07443",291.23,777.44,159.23,941.39,159.56,282.79,316.26,437.62,318.76,588.09,221.77,549.28
"K07444",36,173.5,27.5,60.5,87.33,85.67,25,120,22,146,319.84,138.67
"K07445",17,0,6,1,0,0,1,1,0,0,2,0
"K07446",0,24.58,6,136.75,14,14.58,5.25,20.33,3,58,13,38.5
"K07447",1249.13,2050.14,698.33,1238.29,905.49,2503.46,1047.76,826.52,997.76,1769.69,746.31,2386.15
"K07448",691.25,270.41,338.5,104.08,406.33,1716.05,57.58,56.78,579.83,322.17,55,507.17
"K07449",17,0,6,1,0,0,1,1,0,0,2,0
"K07450",1,151,5,1,6,48,4,6,2,283,5,2
"K07451",222.83,142.76,47.42,105.63,47.27,95.05,65.34,363.66,50.91,150.92,134.03,226.02
"K07452",120.73,225.03,84.27,135.41,49.93,160.03,86.33,367.54,74.67,225.43,20.37,160.7
"K07454",285.82,328.24,124.43,251.64,70.6,252.54,168.01,444.83,87.57,333.08,51.86,189
"K07455",0,0,0,0,0,0,0,0,0,0,1.67,0
"K07456",178,859.83,123.5,151.83,215.33,282,52.83,268,74.33,490,347.84,1154.17
"K07457",63,77.66,46.5,74.83,74,115.83,12.83,99.33,13.33,187,54.67,928.5
"K07458",286.81,199.7,97.19,112.11,64.87,378.99,101.26,270.27,52.07,191.02,61.56,197.38
"K07459",258.23,621.11,115.73,841.56,90.56,183.46,288.93,369.12,296.43,543.09,152.6,468.78
"K07460",1222.13,1927.64,671.83,1179.79,821.16,2459.79,1031.76,772.52,975.76,1631.69,424.14,2254.48
"K07461",361.23,943.86,251.23,1060.81,358.89,444.71,973.18,681.12,355.43,861.09,620.11,1592.95
"K07462",503.23,1731.94,336.73,1096.89,471.89,512.96,1031.76,813.12,408.76,1184.59,661.61,1738.95
"K07463",0,33.49,18,179.5,33,28.16,5.5,34.99,7,97,13,46
"K07464",30,58.57,42,174.41,30,45.57,13.41,100.66,13.66,329,64,70
"K07465",711.9,290.2,356.6,115.4,432.6,1978,42,37.4,587,335.1,67.7,642.2
"K07466",0,31.74,6,222.25,14,45.07,5.75,40.99,3,108,13,47.5
"K07467",2.5,8.5,2,1,0,0.5,0,5,0,2,9.5,25
"K07468",0,0.33,0,1,1,2.33,0,4.33,0,3,0,0
"K07470",231.41,571.5,105.59,810.71,76.27,164.29,140.26,346.07,272.07,514.42,71.69,448.18
"K07472",0,18,16,94,9,0,5,9,5,30,13,34
"K07473",134.83,478.82,84.67,803.33,86.33,129.16,61.67,180.49,244.66,417,263,446.83
"K07474",8.08,411.07,56.17,734.58,41.33,22.91,57.92,106.24,229.16,366,52.33,355.33
"K07475",0,2,15,4,3,2.33,4,0,5,18,4,14
"K07476",6,103.5,6,13,33.33,10.67,6,14,7,127,137,14.17
"K07477",0,18.66,16,95.33,9,0.33,5.33,11.33,5.33,31,13,40
"K07478",1244.13,2037.14,701.33,1230.29,911.49,2503.46,1047.26,810.52,985.76,1625.69,739.98,2379.65
"K07479",264.23,634.11,121.73,853.56,96.56,185.46,313.93,369.12,298.43,546.09,153.27,469.78
"K07480",45.55,406.45,355.7,192.55,106.3,63.35,322.45,60.65,72.1,250,223.3,90.3
"K07481",2.75,314.75,11,0.75,23,100.58,108.25,12.25,0.5,571,10,2
"K07482",5,155,12,0,15,49,5,6,3,283,6.67,1
"K07483",756.68,1053.02,492.78,439.84,325.23,378.92,644.8,554.64,150.35,1108.12,677.24,470.63
"K07484",31.82,173.78,181.68,84.82,71.32,49.14,161.18,31.46,27.64,112.01,89.32,57.32
"K07485",17,17,11,36,42,32,33,15.5,12,10,48.5,13.5
"K07486",0,0,20,10,0,0,0,0,20,5,0,10
"K07487",0,0,0,3,0,0,0,0,0,2.01,1.67,0
"K07489",0,0,4,2,0,0,0,0,4,0,0,2
"K07490",252.4,610.95,113.06,837.39,90.56,180.96,288.76,368.45,295.1,536.59,134.44,466.46
"K07491",511.74,481.63,249.76,315.74,236.42,335.66,162.51,495.18,90.3,302.61,300.8,1198.53
"K07492",0,0.33,0,0.33,0,0.33,0.33,1,0.33,0,0,2.67
"K07493",11.33,215.32,57.67,39.33,38.33,54.66,34.67,11.99,15.66,479,51.99,14.33
"K07494",0,0,8,4,0,0,0,0,8,0,0,4
"K07495",0,0,20,10,0,6.99,0,0,20,0,0,10
"K07496",222.91,1188.8,275.34,263.32,170.3,438.5,190,271.73,86.48,2280.51,506.33,231.52
"K07497",1697.38,2960,955.42,1794.84,754.22,1456.83,2287.92,2176.2,718.7,2891.37,1089.69,2366.08
"K07498",0,11.5,0,83.5,2.64,27.86,0.5,38,0,55,1.67,106.36
"K07499",0,0,20,11,0,2.33,0,0,20,0.67,0,10
"K07501",2,50,0,1,3,20,13,10,1,4,0,7
"K07502",13,111.91,10,64.08,39,27.91,6.58,40.33,8.33,162,137,47.5
"K07503",745.9,343.45,380.6,280.15,452.6,2004.08,50.25,80.4,595,661.1,101.7,698.7
"K07504",3.4,5.2,1.6,1.4,1.6,6.2,0,0.2,0,2.27,11.2,3.2
"K07506",246.15,580.04,74.06,810.48,77.23,124.05,272.01,365.88,289.77,497.09,112.94,454.45
"K07507",813.07,995.47,445.39,927.84,512.06,1953.59,271.51,322.49,848.02,1044.42,438.83,1080.46
"K07516",52,228.83,56,45.33,170.33,40,666.33,69,20.33,161,219,77.17
"K07518",0,4,2,7,0,0,0,0,0,3,0,21
"K07533",39,283.5,35,84,112.99,63.01,21,122,28,159,332.51,171.01
"K07535",0,6,3,0,15,12,53,56,0,7,0,0
"K07552",1139.35,1744.28,702.4,1939.3,911.77,2327.51,2025.26,796.48,1232.91,1515.25,627,1697.41
"K07557",0,7.58,1,42.75,6,14.58,0.25,11.33,1,29,0,5.5
"K07558",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07559",23.91,51.06,58.34,22.08,22.33,13.24,15.92,10.24,13.49,38.83,33.16,10.65
"K07560",1210.73,1903.94,639.23,1193.39,782.89,2499.76,396.26,845.32,969.76,1381.59,706.61,2371.45
"K07561",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07562",0,9.58,16,46.75,9,14.58,4.25,11.33,6,47,4,19.5
"K07566",505.73,1762.02,358.73,1229.64,482.89,536.54,1008.01,846.45,414.76,1224.59,669.11,1771.45
"K07568",497.23,1718.94,328.23,1078.39,470.89,519.46,1009.76,691.12,391.76,1107.09,502.11,1632.95
"K07569",0,25.58,15,134.75,15,14.58,5.25,20.33,4,58.33,13,38.5
"K07570",27,121.5,26.5,51.5,82.33,43.67,15,32,22,136,196.84,39.67
"K07571",135,165.5,51.5,47.5,55.33,94.67,12,68.5,16,281,156.34,108.17
"K07572",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07573",0,24.33,17,95,15,1,5,11.33,6,35,13,35
"K07574",357.23,919.52,201.23,1119.14,256.89,316.54,322.51,534.45,329.76,846.09,486.11,654.95
"K07575",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07576",47.5,149.75,34,119.75,45,82.75,25.75,50,5,151,117.5,80
"K07577",27,115.91,75,236.75,130,23.58,656.25,50.66,23,100,26,74.5
"K07579",0,25.58,17,136.75,15,14.58,5.25,68.33,6,59,13,39.5
"K07580",0,21.58,17,136.75,15,13.58,5.25,20.33,6,59,13,39.5
"K07581",0,22.58,28,136.75,16,13.58,5.25,20.33,9,60,13,40.5
"K07583",0,25.58,15,135.75,15,14.58,5.25,20.33,4,59,13,38.5
"K07584",142,179.5,57.5,81.5,95.33,130.67,19,83,28,288,202.84,120.67
"K07585",0,3.58,1,42.75,6,13.58,0.25,11.33,1,29,0,5.5
"K07586",27.4,121.7,27.1,51.9,84.93,43.87,15,32.2,22,172.6,217.04,39.87
"K07587",0,0.33,0,1,0,0,0,1.33,0,1,0,0
"K07588",1556.58,1386.15,864.17,373.16,1080.33,3898.62,776.5,314.44,1234.49,824.5,293.33,2249.83
"K07589",258.23,237.11,99.73,138.39,74.56,118.96,250.76,301.12,80.93,171.92,122.27,140.78
"K07590",114,160.5,36,42,46.33,93.67,10,65,13,279,143,95.17
"K07592",450.74,297.31,128.76,168.09,90.59,180.17,156.84,500.03,93.48,259.59,53.14,205.03
"K07636",482.23,1720.27,316.23,1043.72,427.89,522.79,1010.09,681.62,380.09,1100.09,453.61,1634.45
"K07637",263.73,660.61,137.73,878.56,100.56,202.96,291.93,395.12,299.43,562.09,141.77,501.78
"K07638",299.23,753.11,172.23,868.06,207.56,189.96,936.93,404.12,328.43,618.59,185.77,477.78
"K07639",257.23,638.11,116.73,850.56,92.56,208.46,288.93,371.12,296.43,543.09,155.27,472.78
"K07640",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K07641",251.9,624.45,113.06,836.39,88.56,180.96,286.76,381.45,294.6,538.59,133.94,465.46
"K07642",269.23,621.27,114.73,842.22,92.56,183.62,314.59,373.12,297.09,549.59,146.27,479.78
"K07643",252.23,612.11,113.73,838.39,88.56,182.96,286.76,368.12,295.93,535.92,136.27,465.78
"K07644",250.9,642.45,113.56,837.56,92.06,172.46,336.93,358.95,290.1,531.26,136.94,460.96
"K07645",259.02,637.76,124,865.67,106.85,157.73,298.46,415.7,304.06,524.49,182.75,506.06
"K07646",999.03,1163.34,475.43,993.19,531.09,2222.86,335.76,441.52,883.76,1452.29,224.67,1130.85
"K07647",7.58,47.57,39.67,20.08,11.33,8.41,14.92,6.24,6.16,27,31.83,9.33
"K07648",264.23,634.11,121.73,853.56,96.56,185.46,313.93,369.12,298.43,546.09,153.27,469.78
"K07649",242.82,225.76,56.14,106.06,57.11,107.05,208.08,301.84,71.44,146.84,87.36,128.63
"K07650",1,20,0,0,19,2,3,0,1,116,131,0
"K07651",6,103.5,6.5,15.5,34.33,10.67,6,14,7,131,139,14.17
"K07652",27,122.5,26.5,58.5,84.33,43.67,16,102,22,138,319.84,131.67
"K07653",694.5,268,334,100,408,1973.8,27,29.2,577,314.5,27.5,569
"K07654",1397.9,433.2,682.6,222.4,823.6,3643,66,58.4,1163,637.1,105.7,1140.2
"K07655",1,160,4,20,11,54,5,27,0,298,31,21
"K07656",1,151,4,0,7,52,5,8,0,284,5,1
"K07657",327.23,1512.11,242.73,987.56,317.56,346.46,970.43,576.12,333.43,797.09,292.27,1486.28
"K07658",140,217.49,76.5,60.49,120.33,152.66,35.49,90.5,57.99,382,166.34,145.67
"K07659",302.73,775.61,191.73,887.06,213.56,209.96,940.93,416.12,329.43,632.09,194.77,488.78
"K07660",280.73,678.61,141.73,897.56,120.56,204.96,320.93,401.12,299.43,571.09,223.77,529.78
"K07661",264.23,648.11,121.73,861.56,96.56,210.46,288.93,371.12,298.43,545.09,161.27,473.78
"K07662",264.23,261.11,104.73,152.56,76.56,170.46,252.93,312.12,82.43,212.09,134.27,148.78
"K07663",251.9,624.45,113.06,836.39,88.56,180.96,286.76,381.45,294.6,538.59,133.94,465.46
"K07664",254.73,612.61,114.73,841.56,90.56,182.96,288.93,369.12,296.43,541.09,137.77,467.78
"K07665",250.9,628.45,113.56,837.56,92.06,172.46,336.93,358.95,290.1,531.26,136.94,460.96
"K07666",258.73,675.61,119.73,863.39,111.56,147.46,287.26,369.12,294.93,598.92,237.1,500.28
"K07667",990.03,1003.5,475.43,982.85,527.76,2165.85,358.92,434.52,884.42,1120.29,226.34,1141.18
"K07668",27,124.83,26.5,58.83,85.33,47,16.33,103,22.33,142,319.84,138.67
"K07669",711.5,288,354,114,430,1975.8,39,37.2,586,333.5,64.5,642
"K07670",712.9,318.86,358.6,141.06,435.6,1989.66,45.66,48.4,587.66,600.1,87.7,668.2
"K07671",1,160,6,20,21,62,7,33,0,302,31,21
"K07672",1,151,4,0,7,52,5,8,0,284,5,1
"K07673",252.73,614.61,114.73,852.56,102.56,182.96,295.93,412.12,303.43,544.09,141.77,493.78
"K07674",37.4,99.18,52.81,70.76,39.62,27.08,168.42,71.29,39.02,53.5,107.74,53.93
"K07675",928.23,1146.61,463.73,1641.56,497.06,1914.96,346.93,454.62,1092.93,940.59,184.77,1304.28
"K07676",252.73,614.61,114.73,852.56,102.56,182.96,295.93,412.12,303.43,544.09,141.77,493.78
"K07677",252.73,615.61,113.73,840.56,92.56,182.96,313.93,369.12,296.43,552.09,136.77,467.78
"K07678",284.23,685.11,143.73,911.56,130.56,218.46,300.93,428.12,306.43,565.09,252.27,518.78
"K07679",29.57,862.02,86.64,1469.76,73.62,106.08,266.42,194.62,468.69,751.67,145.41,698.61
"K07680",0,7,0,0,0,0,0,0,0,5,1,0
"K07682",1,151,3,0,6,48,4,6,0,283,5,1
"K07684",255.23,799.11,133.73,847.39,105.56,203.96,294.76,379.12,295.93,800.92,151.27,473.78
"K07685",35.4,498.18,71.81,781.76,57.62,93.08,204.42,138.29,256.02,419.5,123.74,379.93
"K07686",257.73,1023.61,138.73,1564.56,121.06,257.96,332.93,487.62,523.93,918.09,180.27,824.28
"K07687",314.2,1102.46,153.14,1618.6,145.43,247.97,764.43,490.26,581.02,947.6,349.51,838.62
"K07688",34.57,1646.64,122.39,2891.01,107.74,237.58,315.18,328.99,901.69,1481.92,193.16,1352.11
"K07689",264.23,637.11,130.73,853.56,97.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K07690",5.58,1530.57,109.17,2823.08,85.33,67.91,184.92,234.24,872.16,1363.5,110.33,1295.33
"K07691",0,7,0,0,0,0,0,0,0,5,1,0
"K07692",6,103,6.5,15.5,33,10,6,14,7,127,139,14
"K07693",2699,572.5,1333,394,1623.33,6907.67,108,147,2322,292,317,2220.17
"K07695",1,154,4,20,11,54,5,27,0,291,31,14
"K07696",0,76,1,9,14,6,2,1,0,10,3,1
"K07697",11,188,12,26,48.32,20.68,9,28,13,138,143,28.68
"K07698",0,7,0,0,0,0,0,0,0,5,1,0
"K07699",121,161.5,37,43,46.33,97.67,10,65,13,279,143,95.17
"K07700",479.06,752.04,163.15,908.02,123,265.34,369.1,589.45,334.34,652.84,163.8,551.13
"K07701",252.23,612.11,113.73,839.56,88.56,182.96,286.93,368.12,295.93,540.09,136.27,465.78
"K07702",484.35,779.19,170.42,936.3,138.29,279.61,380.8,645.03,343.47,672.41,193.78,591.41
"K07703",252.73,613.61,116.23,839.56,88.56,182.96,287.93,368.12,295.93,540.59,141.27,465.78
"K07704",6,103.5,6,16,34.33,11.67,6,14,9,128,141,14.17
"K07705",6,103.5,6.5,15.5,33.33,10.67,6,14,7,127,139,14.17
"K07706",0,0,0.5,2.5,0,0,0,7.5,0,0,5.34,36
"K07707",0,0,0.5,2.5,0,0,0,7.5,0,0,5.34,36
"K07708",317.23,857.11,197.73,929.56,246.56,226.46,946.93,483.12,315.43,616.09,273.27,564.78
"K07709",227.41,169.88,85.34,87.46,46.15,98.29,94.5,235.7,48.07,143.67,40.11,94.68
"K07710",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K07711",254.73,615.61,114.73,841.56,92.56,182.96,313.93,369.12,296.43,542.09,137.77,467.78
"K07712",319.23,1467.11,216.73,957.56,287.56,236.46,983.93,493.12,330.43,680.09,279.27,570.78
"K07713",231.41,791.88,100.34,90.46,84.15,131.29,118.5,260.7,64.07,212.67,43.11,113.68
"K07714",16.08,1336.07,93.67,73.08,110.33,135.91,39.92,118.24,30.16,188,37.33,939.33
"K07715",254.73,612.61,114.73,841.56,90.56,182.96,288.93,369.12,296.43,541.09,137.77,467.78
"K07716",62,121,93.5,19.5,225,7.5,1294,40,43,87.5,32.5,8
"K07717",0,14.5,0,0,0.33,0.67,0,0,0,10,3.67,0.17
"K07718",45,170,17.5,60.5,71,60,12,25,12,41,59.84,51.5
"K07719",0,15.5,0,0,0.33,0.67,0,70,0,12,102.67,92.17
"K07720",51,197,22.5,64.5,91,64,16,38,19,162,193.84,64.5
"K07721",0,3.58,1,43.75,6,13.58,0.25,11.33,1,29.67,0,5.5
"K07722",229.41,209.91,115.59,319.96,68.27,140.03,107.51,283.73,57.07,357.09,64.36,158.18
"K07723",114,160.5,36.5,44.5,46.33,93.67,10,65,13,279,145,95.17
"K07724",256.88,1422.41,155.08,2274.73,132.56,324.96,413.1,507.47,736.58,1276.91,184.26,1127.38
"K07725",0,2,13,4,3,0,4,0,3,18.67,4,13
"K07726",267.81,699.68,181.9,874.64,126.89,247.87,359.35,389.86,305.59,622.09,174.6,499.11
"K07727",750.09,669.55,393.97,929.58,555.15,1811.51,96.7,186.48,843.13,781.77,333.05,909.02
"K07728",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07729",144.33,759.33,126.17,957.51,289.3,285.83,148.33,432.54,312.67,753,633.18,571.03
"K07730",0,7.58,1,42.75,6,14.58,0.25,11.33,1,29,0,5.5
"K07731",0,22.58,14,133.75,7,14.58,1.25,19.33,5,38,9,26.5
"K07732",0,25.58,17,136.75,15,14.58,5.25,20.33,6,59,13,39.5
"K07733",429.14,1076.66,157.57,1582.35,125.55,274.59,341.1,490.83,519.83,935.43,187.87,815.77
"K07734",22.39,190.15,15.57,70.08,62.22,41.54,160.5,99.58,30.53,397.27,208.78,76.65
"K07735",1038.73,1162.11,565.23,1051.06,682.56,2223.76,996.93,544.32,918.43,1012.09,370.27,1221.78
"K07736",904.9,1144.2,492.1,240.9,660.26,2210.34,711,245.4,648,1260.6,271.2,1674.54
"K07738",1238.13,2026.14,692.33,1222.29,897.49,2482.46,1032.26,795.52,981.76,1621.69,708.31,2372.65
"K07739",0,25.58,17,139.75,16,15.58,5.25,20.33,8,60,17,39.5
