"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K19225",17,110.33,16.5,26.83,45,17.33,9.33,87.5,10.33,130,271.34,124
"K19226",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K19227",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K19228",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K19229",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K19230",264.23,631.11,121.73,853.56,94.56,185.46,288.93,369.12,298.43,545.09,153.27,469.78
"K19234",230.41,170.5,85.59,87.71,46.27,98.29,97.26,236.07,48.07,145.42,44.36,96.18
"K19235",251.23,213.11,94.73,128.56,70.56,116.96,250.93,301.12,78.93,174.09,116.27,139.78
"K19236",255.23,621.11,115.73,841.56,90.56,183.46,288.93,369.12,296.43,543.09,146.27,468.78
"K19238",5.58,40.57,40.17,19.08,11.33,7.91,15.92,6.24,6.16,25.5,27.33,8.33
"K19243",0,1.25,0,41.75,0,13.58,0.25,9,0,24,0,4.5
"K19244",0,29.33,16,272,13,60.99,5,51.33,5,114,9,40
"K19265",1007.3,789.65,482.16,963.79,527.66,1873.96,328.76,422.85,893.1,866.69,232.15,1057.16
"K19266",0,2,1,0,6,0,0,1,1,4,0,1
"K19267",952.43,764.01,473.63,949.06,504.16,2108.76,176.13,443.02,858.03,810.59,261.54,1190.98
"K19268",15.75,6.5,7.5,42.5,3,15.83,1.5,11.25,1.5,31,13.5,5.5
"K19270",1837.96,1461.22,884.46,1872.12,964.12,3681.92,620.86,768.24,1752.86,1154.68,284.04,1918.56
"K19271",225.33,151.93,48.92,68.63,45.27,94.05,107.34,231.83,42.91,148.42,24.7,96.02
"K19272",0,3,0,0,2,0,25,0,0,1,0,0
"K19275",0,3,0,0,2,0,25,0,0,1,0,0
"K19278",0,3,0,0,2,0,25,0,0,1,0,0
"K19280",0,2.5,0,83.5,0,24.83,0.5,18,0,48,0,9
"K19281",0,1.25,0,41.75,0,13.58,0.25,9,0,24,0,4.5
"K19282",0,0,0,0,0,2.33,0,0,0,0,0,0
