"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K05692"	9.02149576399767e-05	0	0	0	2.31315491198446e-05	0	0	2.11447782969996e-05	0	0	0
"K06704"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K11788"	0	0	0	5.68032548265016e-05	0	0	5.69346390343885e-05	0	0	0	0
"K13952"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K00830"	0	3.18077539352156e-05	0	0	0	0	0	0	0	0	0
"K14489"	0	0	0	7.10040685331269e-06	2.31315491198446e-05	0	0	0	0	0	0
"K05632"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K05633"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K01623"	0.000352658470774454	0.000373741108738783	0.000298741810653272	9.94056959463777e-05	0.000346973236797668	0.000249620888275931	0.000483944431792302	0.000789405056421317	0.000118161408483989	0.000696824199845362	0.000189899172582177
"K00729"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K11140"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K11824"	0	0	0	7.10040685331269e-06	0	0	9.48910650573142e-06	0	0	0	0
"K11826"	0	0	0	2.13012205599381e-05	0	0	0	0	0	0	0
"K12398"	0	0	0	0	3.46973236797668e-05	0	0	0	0	0	0
"K12399"	0	0	0	1.42008137066254e-05	2.31315491198446e-05	0	0	0	0	0	0
"K12400"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K02084"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K03352"	0	0	0	8.52048822397523e-05	5.78288727996114e-05	0	3.79564260229257e-05	2.11447782969996e-05	0	0	0
"K04516"	0.000918552295970672	0.00121267061878009	0.00155623640898449	0.000142008137066254	0.00015035506927899	0.00152892794069008	0.000170803917103166	0.00286159332952727	0.00177242112725984	0.00145092162159582	0.00133833702581724
"K03856"	0.00027064487291993	0.000675914771123331	0.000270951874778549	0.000461526445465325	0.000601420277115958	0.000524203865379455	0.000218249449631823	0.000507474679127989	6.75208048479938e-05	0.000114546443810197	0.00034362707419632
