"","CBN1.1","CBN10.1","CBN10.2","CBN11.1","CBN12.1","CBN13.1","CBN13.2","CBN17.1","CBN6.2","CBN7.1","CBN9.2"
"K01507",0.000977831296939298,0.000792773198325809,0.000907168278799386,0.000934050754476208,0.00090335419339635,0.00103588762532327,0.000825661408474692,0.000797771648006923,0.000851288887600887,0.000935421456598906,0.000756269015073373
"K01506",0,0,0,0,1.63651121992092e-06,0,0,0,0,0,0
"K01500",2.26349837254467e-06,3.42697347979456e-05,4.58165797373427e-05,2.63112888584847e-05,3.92762692781022e-05,5.66833173911503e-06,1.85125876339617e-05,2.25359222600826e-06,5.43375885702694e-06,0,8.667839714308e-06
"K06714",6.79049511763401e-06,5.71162246632427e-05,2.01592950844308e-05,4.27558443950377e-05,2.61841795187348e-05,8.50249760867255e-06,2.40663639241502e-05,2.02823300340743e-05,1.08675177140539e-05,9.84654164840954e-06,2.3836559214347e-05
"K04750",2.7161980470536e-05,6.39701716228319e-05,8.61351699062043e-05,0.000157867733150908,0.000127647875153832,0.000117617883586637,0.000127736854674336,2.02823300340743e-05,0.000135843971425673,3.93861665936381e-05,6.7175757785887e-05
"K08676",1.13174918627234e-05,0.000438652605413704,4.03185901688616e-05,2.13779221975188e-05,2.94572019585766e-05,9.21103907606193e-05,0.000259176226875464,0.000171273009176628,3.44138060945039e-05,0.000147698124726143,0.000104014076571696
"K10547",4.52699674508934e-06,6.16855226363022e-05,2.74899478424056e-05,4.93336666096589e-05,3.92762692781022e-05,2.83416586955752e-05,2.96201402143387e-05,1.57751455820578e-05,1.44900236187385e-05,1.23081770605119e-05,2.8170479071501e-05
"K10546",4.52699674508934e-06,6.16855226363022e-05,2.74899478424056e-05,4.93336666096589e-05,4.09127804980231e-05,2.97587416303539e-05,2.96201402143387e-05,1.57751455820578e-05,1.44900236187385e-05,1.23081770605119e-05,2.8170479071501e-05
"K10545",2.26349837254467e-06,6.85394695958913e-06,3.66532637898742e-06,1.15111888755871e-05,8.18255609960462e-06,8.50249760867255e-06,1.29588113437732e-05,2.25359222600826e-05,3.62250590468462e-06,9.84654164840954e-06,6.500879785731e-06
"K10544",2.26349837254467e-06,4.56929797305942e-06,0,3.28891110731059e-06,3.27302243984185e-06,2.83416586955752e-06,0,1.12679611300413e-05,0,0,2.166959928577e-06
"K10543",2.26349837254467e-06,4.56929797305942e-06,0,3.28891110731059e-06,4.90953365976277e-06,2.83416586955752e-06,0,1.12679611300413e-05,0,0,2.166959928577e-06
"K10542",2.7161980470536e-05,6.39701716228319e-05,9.16331594746854e-05,0.000210490310867878,0.000160378099552251,0.000150210791086548,0.000159208253652071,3.60574756161321e-05,0.000159390259806123,4.18478020057405e-05,9.3179276928811e-05
"K10541",2.7161980470536e-05,6.39701716228319e-05,9.16331594746854e-05,0.000210490310867878,0.000160378099552251,0.00014879370815177,0.000159208253652071,4.05646600681486e-05,0.000159390259806123,4.18478020057405e-05,9.3179276928811e-05
"K10540",3.16889772156254e-05,9.59552574342478e-05,0.000111792454559116,0.000249957244155605,0.00019474483517059,0.000189889113260354,0.000188828393866409,5.18326211981899e-05,0.000170257777520177,5.66176144783548e-05,0.000121349756000312
"K10549",0,6.85394695958913e-06,3.66532637898742e-06,1.15111888755871e-05,6.54604487968369e-06,7.08541467389379e-06,1.29588113437732e-05,0,3.62250590468462e-06,9.84654164840954e-06,6.500879785731e-06
"K10548",4.52699674508934e-06,6.16855226363022e-05,2.74899478424056e-05,4.93336666096589e-05,3.92762692781022e-05,2.83416586955752e-05,2.96201402143387e-05,1.57751455820578e-05,1.44900236187385e-05,1.23081770605119e-05,2.8170479071501e-05
"K00005",5.88509576861614e-05,0.000121086396286075,0.000135617076022534,0.000383158144001684,0.000206200413710036,0.000181386615651681,0.000205489722736975,5.40862134241982e-05,0.000182936548186574,0.000219085551677112,0.000149520235071813
"K00003",0.00016976237794085,0.000187341216895436,0.000542468304090138,0.000735071632483917,0.000608782173810584,0.000610762744889645,0.000401723151656969,0.000229866407052842,0.000492660803037109,0.000315089332749105,0.000223196872643431
"K00002",2.48984820979914e-05,2.97004368248862e-05,8.7967833095698e-05,0.000215423677528844,0.000122738341494069,0.000117617883586637,0.000140695666018109,2.92966989381073e-05,0.000137655224378016,0.000110773593544607,6.9342717714464e-05
"K00001",8.82764365292421e-05,0.000265019282437446,0.000509480366679251,0.000312446555194506,0.000510591500615328,0.000500230275976902,0.000214746016553956,0.000189301746984694,0.000362250590468462,0.000278164801567569,8.8845357071657e-05
"K01186",0.000728846475959384,0.000635132418255259,0.000359201985140767,0.000266401799692158,0.000296208530805687,0.000263577425868849,0.000694222036273564,0.00069861359006256,0.00040753191427702,0.000610485582201391,0.000673924537787447
"K00009",2.26349837254467e-06,0,5.49798956848113e-06,4.93336666096589e-06,1.63651121992092e-06,1.70049952173451e-05,0,2.25359222600826e-06,0,0,2.166959928577e-06
"K00008",6.79049511763401e-05,0.000214757004733793,0.000152111044727978,0.000376580321787063,0.000253659239087743,0.000212562440216814,0.000238812380478106,9.23972812663385e-05,0.000210105342471708,0.000145236489314041,0.000188525513786199
"K00262",0.00164556331683998,0.0012611262405644,0.00110143057688572,0.000899517187849447,0.000983543243172475,0.000813405604563007,0.000975613368309782,0.00128680116105071,0.00111935432454755,0.000947729633659418,0.00120482972028881
"K00261",0,0,0,8.22227776827648e-06,6.54604487968369e-06,2.83416586955752e-06,3.70251752679234e-06,1.57751455820578e-05,3.62250590468462e-06,2.46163541210238e-06,2.166959928577e-06
"K00260",2.26349837254467e-06,4.56929797305942e-06,5.13145693058238e-05,5.92003999315906e-05,3.92762692781022e-05,0.000266411591738406,3.88764340313196e-05,2.25359222600826e-06,1.63012765710808e-05,2.46163541210238e-06,8.667839714308e-06
"K00266",0.00185380516711408,0.00239202748889661,0.00143864060375256,0.00182205675345007,0.00142212825011128,0.00140999752010486,0.00231777597177201,0.00216795572141994,0.00149066117977772,0.00179453221542264,0.00241399336043478
"K00265",0.000776379941782822,0.000909290296638824,0.000399520575309628,0.00016773446647284,0.000235657615668613,0.000694370638041591,0.000616469168210925,0.000980312618313592,0.000240896642661528,0.000551406332310934,0.000916624049788071
"K01200",4.07429707058041e-05,0.000415806115548407,3.29879374108867e-05,9.86673332193177e-05,3.10937131784975e-05,0.000104864137173628,0.00034803664751848,0.000446211260749635,0.000161201512758466,0.000273241530743365,0.000418223266215361
"K01201",7.01684495488848e-05,0.000774496006433572,0.000190596971707346,0.000309157644087196,0.000256932261527585,0.000314592411520884,0.000516501194987532,0.000763967764616799,0.000432889455609813,0.000302781155688593,0.00082344477285926
"K01206",0.00236988279605427,0.00289465026593314,0.00162373958589143,0.00156387723152619,0.0015645047262444,0.00157863038934354,0.003191570108095,0.00227838174049435,0.00211373219538348,0.00204808066286918,0.00222330088672
"K01207",8.14859414116081e-05,9.36706084477181e-05,9.71311490431666e-05,0.000184179022009393,0.000127647875153832,9.49445566301768e-05,0.000218448534080748,2.70431067120991e-05,4.89038297132424e-05,0.000115696864368812,0.000104014076571696
"K01205",0.000701684495488848,0.000580300842578546,0.000295058773508487,5.09781221633142e-05,0.000201290880050274,0.000211145357282035,0.0008219588909479,0.00054311572646799,0.000380363119991886,0.000583407592668265,0.000405221506643899
"K01208",1.81079869803574e-05,4.56929797305942e-06,0,4.76892110560036e-05,1.63651121992092e-06,0,1.85125876339617e-06,0,0,8.61572394235835e-05,1.3001759571462e-05
"K01209",0.000894081857155145,0.00102123809697878,0.000826531098461662,0.00100969570994435,0.000952449529993978,0.000857335175541149,0.00108298637658676,0.000676077667802477,0.00111029805978584,0.000558791238547241,0.000964297168216765
"K06167",0.000785433935273001,0.00055288505474019,0.000370197964277729,0.000226934866404431,0.000247113194208059,0.000131788712934424,0.000349887906281876,0.00054311572646799,0.000365873096373147,0.000376630218051665,0.000509235583215595
"K00917",5.43239609410721e-05,6.39701716228319e-05,0.000102629138611648,0.000230223777511741,0.000139103453693279,0.000126120381195309,0.00021289475779056,4.05646600681486e-05,0.0001412777302827,0.00011323522895671,8.667839714308e-05
"K00912",0.000826176905978805,0.000559739001699779,0.000711073317523559,0.000310802099640851,0.000567869393312561,0.000486059446629114,0.000396169375366781,0.00068509203670651,0.000581412197701882,0.000364322040991153,0.000528738222572788
"K00919",0.000921243837625681,0.000733372324676037,0.0008448577303566,0.000707115888071777,0.000790434919221806,0.000694370638041591,0.000670155672349414,0.000748192619034741,0.000771593757697825,0.000593254134316675,0.000706428936716102
"K02519",0.000939351824606038,0.000728803026702977,0.000843025067167106,0.000735071632483917,0.00079698096410149,0.0007071243844546,0.000670155672349414,0.000748192619034741,0.000771593757697825,0.000834494404702708,0.000702095016858948
"K02518",0.000939351824606038,0.00055060040575366,0.000876013004577993,0.000738360543591228,0.000821528632400304,0.000697204803911149,0.000679411966166395,0.000734671065678692,0.000773405010650167,0.000832032769290606,0.000702095016858948
"K02517",0.000826176905978805,0.000559739001699779,0.000711073317523559,0.000310802099640851,0.000569505904532481,0.000486059446629114,0.000396169375366781,0.000687345628932518,0.000581412197701882,0.000364322040991153,0.000528738222572788
"K02511",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K02510",4.52699674508934e-06,2.74157878383565e-05,1.83266318949371e-05,2.46668333048294e-05,1.96381346390511e-05,9.91958054345131e-06,1.85125876339617e-05,9.01436890403303e-06,7.24501180936925e-06,9.84654164840954e-06,1.5168719500039e-05
"K03179",0.000749217961312286,0.00015535613108402,0.000637766789943811,0.000296001999657953,0.000548231258673509,0.000408119885216282,0.000133290630964524,0.000243387960408892,0.000423833190848101,0.000169852843435065,0.000127850635786043
"K03177",0.000939351824606038,0.000735656973662566,0.0008448577303566,0.000741649454698538,0.000801890497761253,0.000708541467389379,0.000670155672349414,0.00075044621126075,0.000771593757697825,0.000836956040114811,0.000706428936716102
"K12574",0.00017428937468594,0.000187341216895436,0.000476492429268364,0.000529514688277005,0.000562959859652798,0.000589506500867963,0.000398020634130177,0.000211837669244776,0.000412965673134047,0.000470172363711555,0.000203694233286238
"K12573",0.000937088326233493,0.000701387238864621,0.000826531098461662,0.000718627076947364,0.000783888874342123,0.000702873135650264,0.000664601896059225,0.000739178250130708,0.000764348745888456,0.000829571133878504,0.000691260217216063
"K11008",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K08296",4.30064690783487e-05,1.37078939191783e-05,0.000302389426266462,8.8800599897386e-05,0.000315846665444738,0.000359939065433805,6.66453154822622e-05,0.000144229902464528,0.000222784113138104,0,8.667839714308e-06
"K08297",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K07693",1.58444886078127e-05,0,0,2.96001999657953e-05,0,2.83416586955752e-06,0,0,0,0.000236316999561829,0
"K07690",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K07696",2.7161980470536e-05,2.97004368248862e-05,7.88045171482295e-05,0.000146356544275321,0.000114555785394465,0.000111949551847522,0.000122183078384147,1.80287378080661e-05,0.000137655224378016,4.18478020057405e-05,6.0674878000156e-05
"K07694",0,4.56929797305942e-06,1.83266318949371e-06,6.57782221462118e-06,1.63651121992092e-06,1.41708293477876e-06,0,4.50718445201651e-06,0,2.46163541210238e-06,4.333919857154e-06
"K07699",7.24319479214294e-05,0.000132509641218723,5.6812558874305e-05,0.000205556944206912,0.00010637322929486,9.91958054345131e-05,0.000214746016553956,4.28182522941569e-05,5.25263356179271e-05,0.0001033886873083,0.000106181036500273
"K07079",0.000126755908862502,0.000756218814541334,0.000245576867392157,0.000460447555023483,0.000384580136681417,0.00039961738760761,0.000666453154822622,0.000806786016910956,0.000523452103226928,0.000332320780633822,0.000938293649073841
"K07078",7.46954462939741e-05,0.000415806115548407,8.98004962851917e-05,0.000228579321958086,7.52795161163625e-05,0.000114783717717079,0.000305457695960368,0.000446211260749635,0.000233651630852158,0.000295396249452286,0.000426891105929669
"K07076",1.13174918627234e-05,3.42697347979456e-05,2.38246214634182e-05,8.8800599897386e-05,2.78206907386557e-05,9.91958054345131e-06,2.96201402143387e-05,1.35215533560495e-05,1.26787706663962e-05,8.36956040114811e-05,2.6003519142924e-05
"K07075",3.62159739607147e-05,0.000379251731763932,9.16331594746854e-05,9.37339665583519e-05,8.6735094655809e-05,0.000427959046303185,0.000553526370255455,0.000322263688319181,0.0001883703070436,0.000305242791100696,0.000225363832572008
