"DS_2A"	"DS_2C"	"DS_2E"	"DS_3A"	"DS_3C"	"DS_3E"	"FS_1A"	"FS_1C"	"FS_1E"	"FS_2A"	"FS_2C"	"FS_3A"	"FS_3C"	"FS_3E"
"1135190"	0	0	0	0	0	0	0.000184859968573805	0	0	0	0	0	0	0
"211222"	0.000330687830687831	0	0	0	0	0	0	0	0	0	0	0	0	0
"18850"	0	0	0	0.000132205182443152	0	0	0.000277289952860708	0.00018152114721365	0.000165180046250413	0.000408329930583912	0	0	0.000100542931831892	0
"857566"	0	0	0	0	0	0.000126726650614624	0	0	0	0	0	0	0	0
"523593"	0	0	0	0.000264410364886304	0	0	9.24299842869027e-05	0	0	8.16659861167824e-05	0	0	0	0
"204462"	0	0.000231535077564251	0	0	0.000113071008593397	0	0	0.00018152114721365	8.25900231252065e-05	0.000163331972233565	0	9.07770515613653e-05	0	0
"138288"	0.000165343915343915	0	0	0	0	0	0	0	0	0	0	0	0	0
"1006496"	0.000165343915343915	0	0.000103584006629376	0	0.000452284034373587	0	0	0	0	0	0	0	0	0
"4314629"	0	0.000115767538782125	0	0.000132205182443152	0.000113071008593397	0.000126726650614624	0	0	0	8.16659861167824e-05	0	9.07770515613653e-05	0	0
"810167"	0	0	0.000103584006629376	0	0	0	9.24299842869027e-05	0	8.25900231252065e-05	0	0	0	0	0
"844535"	0	0	0	0	0	0	0	0.00018152114721365	0	0	0	0	0	0
"591482"	0	0.000115767538782125	0	0	0	0	0	0	8.25900231252065e-05	0	0	0	0	0
"112952"	0.000165343915343915	0	0.00207168013258753	0	0	0	0	0	0	0	0	0	0	0
"949660"	0	0	0	0	0	0	0.000277289952860708	0	0	0	0	0	0	0
"513055"	0.000661375661375661	0.000463070155128502	0	0	0	0	0	0	0	0	0	0	0	0
"539496"	0	0	0.000517920033146882	0	0	0	0	0	0	0	0	0	0	0
"222163"	0	0	0	0	0	0	0	0	0	0	0.000111856823266219	0	0	0
"580635"	0	0	0	0	0.000113071008593397	0	0	0	0	0	0	0	0	0
"2771646"	0	0	0.000310752019888129	0.000396615547329455	0.000565355042966983	0	0	0	0	8.16659861167824e-05	0	0	0	0
"400524"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"591647"	0	0	0.000414336026517506	0	0	0	0	0	0	0	0	0	0	0
"246221"	0	0	0	0	0	0	0	0.000726084588854602	0	0	0	0	0	0
"182111"	0	0	0	0	0	0	9.24299842869027e-05	0.000544563441640951	8.25900231252065e-05	0	0	0	0	0
"846759"	0	0	0	0.000661025912215759	0.000565355042966983	0.000633633253073121	0	0	0	0	0	0.000181554103122731	0	0
"591642"	0.000330687830687831	0.000231535077564251	0.000517920033146882	0.000264410364886304	0	0	0	0	0	0	0	0	0	0
"569321"	0	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"661541"	0	0	0	0	0	0	0.000184859968573805	0.00018152114721365	0	0.000408329930583912	0	0	0.000100542931831892	0
"1142733"	0	0	0	0	0	0	0	0	0	0	0	0.000272331154684096	0.000100542931831892	0.000230414746543779
"708255"	0.00165343915343915	0.000347302616346376	0.000414336026517506	0.000132205182443152	0	0.000380179951843873	0	0	0	0	0	0	0	0
