"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_3A","FS_3C","FS_3E"
"K02809",2.0019699384194e-07,0,4.17246552448205e-07,4.54548863661932e-07,0,2.20347554197235e-07,4.17763295316873e-07,4.15884370836608e-07,2.10681066577113e-07,0,0,0,0,0,0,0,0
"K02808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03600",8.70856923212441e-05,8.6620921736148e-05,8.30320639371927e-05,7.97733255726691e-05,9.63935996301128e-05,7.57995586438489e-05,5.86957429920207e-05,5.38570260233407e-05,6.78393034378304e-05,9.10384574767457e-05,8.17956993824425e-05,0.000138171335070718,0.000108506686967268,8.46405658018258e-05,7.69236433052598e-05,8.67730309419832e-05,9.99215807747804e-05
"K03601",0.000517709426075258,0.000524202566821228,0.000512170143130171,0.000499094652300801,0.000504466718406843,0.000517155709700911,0.000513431089944437,0.000506131279308151,0.000511112267516077,0.000509815361869776,0.000502459296206432,0.000514982436549064,0.000495722398908116,0.000484915444074764,0.000519670557543342,0.000513240484857306,0.000529776534992442
"K03602",0.000512304107241526,0.000521088106713861,0.000506120068119672,0.000488640028436577,0.000498067999801846,0.000505917984436852,0.000504031415799808,0.000499685071560184,0.00050647728405138,0.00050536459283758,0.000495782096256845,0.00050888023247654,0.000491839455835729,0.000476987087278137,0.000515407786377811,0.00050684247335928,0.000525164769725913
"K03603",6.00590981525821e-07,1.94653756710445e-07,4.17246552448205e-07,1.3636465909858e-06,1.03205138790271e-06,1.54243287938065e-06,4.17763295316873e-07,4.15884370836608e-07,6.3204319973134e-07,4.04615366563314e-07,1.46063748897219e-06,4.35871719465987e-07,2.15719059577074e-07,4.28559826844688e-07,1.93762325705944e-07,1.99937859313325e-07,0
"K03604",1.0009849692097e-06,1.751883810394e-06,1.87760948601692e-06,3.18184204563352e-06,1.23846166548325e-06,4.18660352974747e-06,1.46217153360906e-06,1.66353748334643e-06,2.52817279892536e-06,8.09230733126629e-07,2.08662498424598e-06,8.71743438931975e-07,4.31438119154148e-07,8.57119653689375e-07,3.87524651411888e-07,1.99937859313325e-07,3.84313772210694e-07
"K03605",8.12799794998278e-05,0.00010511302862364,8.40751803183132e-05,8.34097164819645e-05,9.90769332386598e-05,8.10878999445826e-05,6.24556126498726e-05,5.73920431754518e-05,6.3204319973134e-05,9.42753804092523e-05,9.84886992564103e-05,0.000147978448758703,0.000114762539695003,0.000101782958875613,0.000101531458669915,0.000102967997546363,0.000114525504118787
"K03606",0.000125523515138897,0.000151829930234147,0.000126008458839358,0.000136137384666749,0.00014097821958751,0.000117665593941324,8.68947654259097e-05,7.83942039027005e-05,9.10142207613129e-05,0.000144447685863103,0.00011664233661935,0.000193744979302631,0.00016071069938492,0.000144853221473504,0.000132145906131454,0.000139556625800701,0.000149305900503855
"K03607",1.22120166243584e-05,5.45030518789246e-06,1.10570336398774e-05,1.43182892053509e-05,9.4948727687049e-06,1.27801581434396e-05,1.04440823829218e-05,9.56534052924197e-06,1.72758474593233e-05,8.69923038111126e-06,4.59057496534116e-06,8.06362681012077e-06,1.10016720384308e-05,8.57119653689375e-06,9.6881162852972e-07,2.99906788969988e-06,1.92156886105347e-06
"K03608",0.000119517605323638,0.0001267195956185,0.000125173965734461,0.000129546426143651,0.000143248732640896,0.000126038801000819,0.00010820069348707,0.000103763150523734,0.000120088207948955,0.00014768460879561,0.000153575598840504,0.00019439878688183,0.000180988290985165,0.000166924052556006,0.000136214914971279,0.000144755010142848,0.000151803940023224
"K03609",0.000146143805504617,0.000145795663776123,0.000149374265776457,0.000164546688645619,0.000169462837893624,0.00015776884880522,0.000137861887454568,0.000132251229926041,0.000148530151936865,0.000177828453604577,0.000199272685995491,0.000229050588579376,0.000220033440768616,0.000208494355759941,0.000176129954066703,0.000181143700537873,0.000180819629825131
"K06078",6.00590981525821e-07,1.94653756710445e-07,1.66898620979282e-06,4.54548863661932e-07,4.12820555161083e-07,1.32208532518341e-06,6.2664494297531e-07,2.07942185418304e-07,2.10681066577113e-07,2.02307683281657e-07,1.25197499054759e-06,2.17935859732994e-07,4.31438119154148e-07,2.14279913422344e-07,0,0,0
"K06079",0,0,0,0,0,0,0,0,0,2.02307683281657e-07,1.25197499054759e-06,2.17935859732994e-07,0,0,0,0,0
"K09710",0.000500692681598693,0.000483909239182166,0.000495271657756019,0.000495003712527844,0.00049208210175201,0.000513409801279558,0.000508417930400635,0.000501556551228949,0.000509637500050037,0.000477850747911274,0.000489313558805683,0.000488176325801906,0.000468973235520559,0.00046627309160702,0.000490799971013156,0.000483649681678934,0.000504027512254325
