"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K07199",0,0,0.5,0.5,0,0,1.5,2.5,0.5,0,0,0,0.5,0,0,3.5,2,0.5
"K07213",3400.56,2337.84,4080.51,1940.7,2861.86,3185.78,2716.11,3365.76,2743.09,3523.6,2039.63,4627.67,4569.31,3109.2,291.88,4412.22,3346.03,3124.75
"K07214",4512.58,4084.49,5201.34999999999,2084.48,3453.35,3024.41,3143.39,3541.59,3239.19,5072.34,2335.17,6655.92,5831.95,4282.26,310.86,5438.12,4812.91,4918.58999999999
"K07215",446.9,321.4,631.95,171.25,400.7,428.5,194.45,235.5,199.2,638.16,254.83,507.83,833.09,831.17,51.66,502.5,435,348
"K07216",429.41,251.3,583.45,272.75,303.48,337.73,330.2,306.84,408.35,224.7,114.96,288.27,221.46,284.62,33.33,241.21,176.2,105.53
"K07217",1695.11,1353.21,2145.6,769.51,1345.89,1426.39,1201.28,1371.91,1303.13,2037.7,1016.98,2680.33,2586.13,1822.97,185.75,2081.27,1634.87,1580.72
"K07218",314.25,194.33,415.5,162.83,253.01,348.91,193.42,274.33,183.42,210.41,123.75,298.09,237,271,19.25,146.08,90,115.83
"K07219",1230.65,871.24,1486.95,643.91,1077.84,1019.57,627.99,971.24,708.33,1542.24,729.83,1299.33,1543.92,1320.85,64.37,1331.67,1170.28,1096.45
"K07220",8082.52,6328.38,9549.58,3925.4,6034.12,6449.37,6451.62,7689.75,6708.5,7685.12,3660.72,9860.89,8973.5,6670.11,851.11,8456.75,6864.6,6565.15
"K07221",912.939999999999,781.72,1267.92,423.7,810.2,972.999999999999,540.540000000001,704.12,559.58,1316.5,454.48,1449.84,1721.44,1586.84,134.96,1058.04,952.04,785.82
"K07222",2070.06,1532.89,2810.85,1408.9,1563.03,1865.68,2066.74,2312.1,2276.8,2636.93,1393.58,4010.79,3229.32,2218.83,384.3,2516.26,2386.87,2026.11
"K07223",3638.96,2896.96,4077.6,1778.76,2448.37,2378.46,2343.18,2736.03,2545.46,3604.23,1592.82,4545.58,4015.5,2922.39,251.31,3593.53,3190.08,3283.3
"K07224",1693.09,1203.67,2453.77,1373.59,1568.04,1631.32,1832.68,2149.8,2102.89,1950.05,1137.21,3100.01,2370.05,1673.05,267.65,1994.12,2070.01,1680.11
"K07225",809.06,524.29,1139.01,658.24,695.66,765.41,758.179999999999,938.22,870.529999999999,939.53,478.8,1279.46,1102.23,831.97,54.25,783.78,821.78,720.299999999999
"K07226",3230.22,2544.54,3809.46,1343.58,2343.98,2689.16,2439.5,2584.36,2275.15,3961.42,1805.34,4959.86,5440.94,4204.24,618.07,4873.95,3739.75,3212.43
"K07227",799.34,453.26,984.68,328.31,600.25,638.3,290.89,328.42,267.74,654.09,284.13,525.85,830.57,864.93,47,667.88,520.47,452.33
"K07228",1392.75,975.55,1731.67,1002.39,1180.17,1142.31,1234.46,1485.34,1419.79,1697.14,923.92,2420.78,1816.61,1348.42,253,1654.54,1628.26,1388.88
"K07229",380,270.61,586.17,374.51,379.37,417.93,408.24,512.49,471.46,480.55,285.21,717.12,567.86,407.82,11.71,483.94,478.53,452.07
"K07230",277.7,232.41,378.82,177.68,315.7,251.21,256.91,294.59,234.54,382.98,166.08,539.11,481.2,373.91,74.02,288.04,268.64,235.99
"K07231",825.43,542.43,1008.83,490.62,821.14,699.71,442.27,533.1,450.05,730.03,616.12,1059.9,793.05,800.26,32.33,928.19,807.47,656.79
"K07232",3549.38,2717,4377.11999999999,1835.21,2696.65,3096.45,2572.12,2893.85,2521.05,4279.12999999999,1980.49,5408.75999999999,5599.54999999999,4553.90999999999,603.24,5066.47999999999,3922.42999999999,3443.98
"K07233",776.46,779.63,799.49,267.58,695.9,661.37,380.15,351.67,445.4,975.65,374.5,1896.82,1326.12,890.53,156,965.6,824.67,893.4
"K07234",3847.43,3153.18,4640.16,1795.2,3050.14,3324.96,2449.61,2653.52,2358.64,4419.03,2317.03,6002.23,6143.72,4438.84,596.57,5484.02,4129.05,3920.04
"K07235",1826.81,1130.17,2021.64,1124.41,1509.96,1252.19,1189.38,1473.72,1271.75,2013.21,1242.85,2434.35,1706.26,1296.77,46.81,1729.64,1653.81,1730.17
