"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K11098",1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,0
"K11102",2992.51,2694.97,3380.96,1274.44,2040.56,1861.45,1939.04,2246.24,2022.8,2988.34,1322.94,3629.12,3280.33,2572.22,195.64,3265.75,2817.55,3013.9
"K11103",5764.27,4244.80999999999,7331.51000000001,2999.97,4382.44999999999,5153.22,4059.32999999999,4716.80999999999,4095.55999999999,6861.97,3233.97,8045.63,9216.69000000001,6984.12000000001,846.93,6982.64,5895.29,5133.60999999999
"K11104",320.14,214.12,468.31,327.98,319.39,305.44,351.08,442.39,428.98,408.7,240.34,618.23,492.41,362.58,10.59,418.28,415.61,369.14
"K11105",3362.13,2579.19,4356.24,2130.09,2869.74,3114.37,3186.49,3513.06,3446.39,3773.67,1946.55,5894.19,4823.82999999999,3441.07,492.91,3942.64,3584.66,2988.5
"K11106",414,365.61,633.5,389.84,413.37,446.93,430.58,542.16,486.8,540.22,316.54,794.45,687.53,486.15,18.04,550.27,526.86,494.07
"K11107",924.18,530.44,1266.95,731.33,785.59,813.2,750.1,893.15,841.309999999999,749.39,457.19,1125.02,870.51,615.37,22.48,716.55,749.23,685.93
"K11128",1,2,7,12,3,5,4,7,4,0,1,4,0,2,0,3,1,2
"K11130",359.32,230.66,535.67,264.49,314.68,400.83,445.33,746.32,546.33,342.65,179.83,398.99,336,235.65,18,331.67,311.65,245.82
"K11131",679.98,399,732.32,363.33,462,509.16,588.66,935.99,660.82,759.66,334.16,680.99,555,419.65,17.33,598.01,532.33,559.16
"K11139",3.25,4.5,13.75,10.52,4.15,5.1,8.67,13.8,5.1,8.4,1.85,6.55,10.8,8.6,0,5.57,2.72,5.97
"K11143",18.33,14.67,21.66,8,14,8.33,22,23,17.33,10,5,12,23,12,0,13.33,13.01,12.33
"K11144",826.63,479.59,1080.27,591.31,723.11,864.97,596.45,764.28,604.91,855.8,624.54,1322.15,1180.68,733.87,30.04,1031.77,952.83,845.65
"K11145",1205.04,817.94,1585.75,784.99,1147.29,1117.22,945.35,1111.08,1035.19,1186.18,835.21,1684.11,1589.15,977.53,52.14,1591.26,1430.88,1216.8
"K11147",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K11159",1398.95,955.35,1752.16,760.91,1052.95,1238.22,863.48,1025.33,883.02,1558.14,770.44,1585.31,2010.98,1604.86,120.13,1699.66,1472.83,1172.5
"K11161",0.22,0.22,0.11,0,0.11,0,0,0.11,0.22,0,0,0,0,0,0,0,0,0
"K11163",5,3,8,0,2,11,0,1,0,6,0,10,14,6,0,8,6,2
"K11173",2,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"K11175",15151.27,12407.8,18801.67,7714.72999999999,11806.44,12854.32,12087.51,14371.67,12738.01,15845.77,8045.49,21447,19676,14301.89,1709.73,19551.51,15908.07,14782.74
"K11176",334.66,204.32,297.01,169.16,247.35,186.5,211,339,241.34,437.99,179.5,324,221,172.33,2.67,276.99,213.99,338.83
"K11177",6749.38,5792.67,8406.61,2524.3,4536.66,5380.57,4204.3,4798.26,4303.87,7946.37,3195.68,8880.92,10044.91,8263.54,969.47,8560.54,6787.57,6416.74
"K11178",6767.38,5825.17,8430.44,2535.8,4542.33,5396.4,4214.3,4823.76,4330.87,7958.37,3201.68,8883.75,10058.24,8280.04,963.47,8591.54,6799.07,6423.74
"K11179",1238.66,817.84,1638.48,926.08,1177.29,1061.28,1045.55,1237.9,1155.76,1183.97,923.52,1881.85,1317.26,987.45,44.48,1264.05,1266.06,1113.43
"K11180",11,11.5,24.5,5,8,7.75,24,75,35,11.25,5,14.5,14.5,16,2,15.25,7.75,5.75
"K11181",11,11.5,24.5,5,8,7.75,24,75,35,11.25,5,14.5,14.5,16,2,15.25,7.75,5.75
"K11183",2253.63,1596.31,2973.27,1311.99,1739.66,1825.75,2156.37,2434.25,2223.82,1846.96,921.02,2984.06,2504.09,1707.16,229.45,2334.4,1790.37,1696.93
"K11184",547.75,300.33,721.28,419.83,493.24,648.16,390.91,481.75,419.17,617.51,437.17,1034.76,840.58,467.12,17.37,661.5,566.21,544.97
"K11189",10736.05,8578.39,14116.57,5943.69999999999,8650.73999999999,10009.31,9101.19999999999,10662.83,9454.15999999999,12070.09,6571.06,15868.06,15360.23,11088.84,1276.65,15333.83,11977.15,10844.53
"K11192",634.43,343.04,877.17,504.8,532.51,584.64,469.67,585.59,528.17,491.08,288.17,736.02,590.9,424.25,11.71,494.47,493,466.36
"K11194",2.5,1,4,10,2.5,9,1.5,2,0,3.17,0,0.17,2.33,2,0,0,2.17,1.17
"K11195",2.5,1,4,10,2.5,9,1.5,2,0,3.17,0,0.17,2.33,2,0,0,2.17,1.17
"K11196",2.5,1,4,10,2.5,9,1.5,2,0,3.17,0,0.17,2.33,2,0,0,2.17,1.17
"K11200",35.43,15.35,63.39,30.93,22.11,40.81,40.87,59.47,36.48,35.04,41.14,52.72,62.07,35.98,0.29,25.3,22.59,28.48
"K11201",169.79,113.8,341.47,158.12,139.93,257.48,215.84,303.64,181.49,197.88,170.38,268.13,331.28,234.14,4.53,163.41,138.42,178.67
"K11202",238.54,181.05,467.72,212.54,215.18,374.73,276.51,385.47,233.24,271.38,214.63,355.72,407.95,279.81,7.53,237.66,203.43,274.51
"K11203",674.65,261.66,916.47,427.2,453.71,597.4,331.7,431,287.91,222.1,186.46,304.77,375.7,267.5,5.53,184.13,165.2,213.75
"K11208",465,305.61,669.17,417.34,438.37,486.93,444.07,532.49,500.46,556.05,313.21,894.12,723.86,586.82,30.71,534.77,534.36,498.4
"K11209",10595.79,8039.64999999999,13228.3,5142.71,8335.29999999998,9446.89999999998,6715.79999999999,7457.16999999998,6660.07999999999,12376.2,5915.68,15267.27,16516.2,13147.94,1570.36,13749.71,11009.76,9653.18999999998
"K11210",475.98,263.6,521.46,274.15,400.14,422.31,270.61,296.67,250.37,572.3,411.37,987.7,791.38,415.2,14.92,619.57,552.38,541
"K11211",331.93,152.93,440.5,211.79,210.64,291.71,143.43,137.43,143.21,159.36,36.79,131.57,171.21,146.43,27,66.86,77.14,75.79
"K11212",2872.95,2258.65,3454.23,1470.16,2168.6,2325.68,2847.07,3326.72,3101.81,3013.22,1440.99,5176.21,3645.44,2426.02,473.32,3633.24,3089.18,2825.4
"K11216",710.08,474.51,970.7,632.05,647.41,656.17,671.35,810.41,787.51,778.25,479.91,1138.65,897.46,641.82,22.94,884.25,840.02,728.84
"K11249",317.14,201.12,459.31,309.15,304.39,292.44,343.25,437.06,425.98,399.37,238.51,608.06,463.74,329.58,10.59,418.12,419.11,372.81
"K11250",996.509999999999,685.2,1438.3,934.17,1012.9,962.36,1009.7,1300.73,1217.15,1213.63,682.35,1785.38,1412.84,1039.24,49.52,1148.06,1176.24,1057.73
"K11258",920.18,523.44,1232.95,728.33,786.59,800.2,745.1,927.15,837.309999999999,737.39,446.19,1114.02,869.51,603.37,22.48,709.55,742.23,676.93
"K11260",532.97,255.01,390.64,186.66,303.33,189.82,224.99,366.31,237.14,598.32,253.49,454.98,387,278.97,2.66,416.02,373,455.48
"K11261",2177.54,2043.92,2051.55,519.41,1151.25,917.65,1108.32,1361.98,1145.22,1984.82,678.49,2142.23,2123.83,1602.22,129.66,2068.35,1618.67,1971.15
"K11263",3127.75,2135.73,4140.58,2137.81,2422.75,2887.04,3793.48,4290.13,3968.79,3294.26,1790.6,5257.7,4537.74,3003.12,449.41,3537.19,3584.74,2730.88
"K11264",97.93,81.1,201.99,87.76,91.31,162.66,111,161.6,97.83,118.07,83.07,153.99,147.04,95.38,3.29,100.41,88.14,112.61
"K11275",19.5,13.5,68.5,4.5,7.5,26,27,48,22.5,27.5,12.5,12,36.5,31,0,19,17,11.5
"K11311",6.65,2.9,7.7,2.75,10.2,3,4.45,5.75,6.95,22.5,6,37.5,36.25,34.75,17,4.75,14.75,15.75
"K11312",465.55,280.5,562.98,236,346.62,357.49,220.21,247.28,226.67,371.43,158.77,536.3,432.86,353.28,69.32,388.65,327.26,318.9
"K11325",468.41,413.65,612.47,196.93,321.27,361.94,802.43,842.93,821.28,383.6,167.64,767.29,654.78,379.61,75.99,792.93,529.66,433.27
"K11327",0.5,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0
"K11328",0.5,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0
"K11329",25.5,7.5,16.5,7.5,9.5,4,12,11,12.5,22.5,9.5,22,39.5,17,5,20,30,16.5
"K11330",0.5,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0
"K11333",124.5,100,137,42.5,117.5,103,78.5,103,78.5,216,105.67,324.5,217.83,201.67,44.5,215.5,184,119
"K11334",124.5,100,137,42.5,117.5,103,78.5,103,78.5,216,105.67,324.5,217.83,201.67,44.5,215.5,184,119
"K11335",124.5,100,137,42.5,117.5,103,79,105.5,78.5,216,105.67,324.5,217.83,201.67,44.5,215.5,184,119
"K11336",124.5,100,137,42.5,117.5,103,78.5,103,78.5,216,105.67,324.5,217.83,201.67,44.5,215.5,184,119
"K11337",124.5,100,137,42.5,117.5,103,78.5,103,78.5,216,105.67,324.5,217.83,201.67,44.5,215.5,184,119
"K11356",0.5,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0
"K11357",1761,1416,2251,767.5,1223,1587,1176,1238.5,1112,2237,998,2512.5,3344.17,2692.5,377,3243.5,2343,2009
"K11358",69.15,48.75,110.53,60.84,47.16,97.25,122.04,160.9,80.57,56.95,39.66,77.41,68.83,43.48,2,52.34,40,39.45
"K11381",4041.24,3429.98,4916.3,1626.25,2745.95,3308.34,3317.01,3987.76,3336.11,4340.76,1979.81,5329.62,5207.62,3717.78,403.99,5403.43,4060.33,4262.77
"K11382",63.75,70.24,141.93,58.58,70.08,123.59,61,87.83,59.42,72,44.75,89.09,72.84,54,1,74.08,62.34,85.83
"K11383",15.5,10,15.5,6,6.5,10.5,4,3.5,3,17,11.5,74,36.5,23.5,1.5,5.5,10.5,5.5
"K11384",69.58,77.08,135.57,24.46,41.28,70.66,81.74,95.5499999999999,65.92,66.1399999999999,27.65,83.93,82.24,108.89,4.98,113.67,102.54,95.52
"K11385",253.5,146,228.5,180.5,170.5,189.5,130.5,168,171,157.5,83,141,191,131.5,9,354,280.5,193.5
"K11386",424.5,241.33,456.17,277.16,294,318.83,295.5,342.5,310.83,464,291,501,587.5,328.5,18,577,501.5,408
"K11387",652.75,412.15,788.93,390.33,443.9,507.86,544.58,636.24,577.42,803.82,525.58,950.08,1043.59,551.78,30.08,809,735.45,627
"K11389",52.66,36.66,66.33,69.83,67.67,81.5,129.83,223.5,157,35.83,20,40.33,65.5,18,1,24.83,26.16,19.17
"K11391",407,284.61,622.17,403.51,395.37,451.93,428.24,534.49,501.46,493.55,298.21,739.12,584.86,429.82,14.71,496.94,497.53,473.07
"K11392",857.18,486.44,1158.95,686.83,704.59,767.45,680.1,832.65,766.809999999999,716.14,437.19,1069.02,822.01,580.87,20.98,696.8,712.48,660.18
"K11395",59,56,120,35,46,52,89,127,132,55,34,89,65,67,1,86,73,54
"K11407",0,1,7,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
"K11410",45.02,38.68,113.68,70.08,49.31,40.93,101.34,133.5,104.25,72.69,27.75,99.49,72.68,57.68,5.83,52.1,62.67,50.35
"K11415",2.01,0.66,3.32,0.99,2,2,0.33,0,2,1.99,1.99,2.67,1.33,3,0,2,0.66,2.66
"K11418",1.66,1.67,1.33,0.67,0,0.66,0,0,0.33,2.34,1,1,1.33,2.32,0.33,3.34,2.67,2.66
"K11422",154,169,166.5,58,161,103.5,105,95.5,96.5,166.5,60,166,172,145,16,265,200,184
"K11434",37,34,87,21,103.5,63,28.5,66.5,21,9,19,25,20,57,0,21,19,17
"K11440",2.5,1,13,11.67,4.83,17.33,1.83,12.33,6,5.17,0,0.17,3.33,3,0,0,2.17,1.17
"K11441",0,0,0,0,0,0,0,1,0,33,0,5,9,17,1,0,0,1
"K11442",9,16,15,16.25,16,9,4,13.25,11,4.5,1,12.25,3,3,0,5,1,0.25
"K11443",3192.53,2414.35,3604.59,1258.59,2188.09,2417.58,2088.25,2307.05,2033.06,3504.24,1588.95,4277.92,4838.95,3931.05,523.97,4770.81,3390.34,3014.39
"K11444",139.71,59.32,126.34,55,62.7,121.71,81.7,69.3,127.53,124.85,13.34,125.73,123.91,81.14,24.01,14.04,22.51,15.84
"K11472",4561.96,3683.23,5702.79,2194.9,3565.31,4046.43,3404.54,3720.72,3409.39,5219.33,2361.21,6965.77,6990.43,5474.16,872.02,6452.54,4826.61,4267.43
"K11473",5754.99,4729.17,7207.32,2702.48,4273.22,5032.68,3970.71,4734.81,4010.9,6558.34,2927.54,8109.61,8515.46,6399.44,806.72,7813.87,5784.92,5426.84
"K11474",49.86,25.84,86.41,42.35,36.56,55.72,52.17,75.6,42.58,80.59,45.83,127.73,133.51,77.85,14.3,37.24,44.48,38.72
"K11475",674.83,622.14,862.87,227.92,590.95,582.26,371.45,405.58,321.95,1087.35,456.84,1214.16,1336.34,1100.42,137.51,848.34,713.84,637.84
"K11476",66.22,46.22,182.23,60.25,73.61,125.5,61.75,112.86,94.72,30.67,15,32.42,21.33,30.62,1.12,24,12.79,10.3
"K11477",203.13,196.23,334.98,124.92,193.67,243.84,195.01,248.03,175.34,393.73,166.25,492.21,441.4,348.79,50.3,297.49,316.47,305.04
"K11517",4,14,5,1,2,1,3,1,0,4,1,6,10,7,0,8,5,2
"K11520",1.5,1,1.5,0,1,1,1,0,0,4,1,1,2.5,0,0,3,5,1
"K11521",35.67,17.16,28.84,21.33,24.33,23.67,17,29.5,21.5,55.5,29,127,70.5,43,3.5,24,30.5,20.33
"K11522",1,1,1,0,1,1,0,0,0,4,1,1,2,0,0,3,5,1
"K11527",31,25.33,52.59,30.08,32.83,68.5,23.5,29.68,16.33,92.16,22.33,36.42,89.83,136.5,9.32,13.67,11.84,15.33
"K11528",11,10,9,5,16,6,27,62,49,3,0,3,2,2,3,1,6,0
"K11529",733.16,454.67,706.83,349.67,455.5,478.16,465,769.5,483.33,956.34,372.5,787,541.83,435.82,17.83,621.84,498.17,701.16
"K11530",593.09,403.18,838.45,521.2,579.13,565.16,568.01,682.23,661.77,651.37,372.74,980.12,728.97,520.11,17.98,636.04,647.41,594.3
"K11531",437.57,308.61,657.17,410.77,447.08,447.36,456.5,558.59,530.03,495.43,292.88,755.31,596.76,423.53,12.42,496.15,501.55,466.69
"K11532",2524.5,2068.5,3044.5,1080.5,1848,2159.5,1704.5,1822,1550,3197.33,1436,3902.83,4385.5,3581,505,4164.5,3050.5,2633.5
"K11533",513.82,302.48,621.59,350.26,370.74,434.96,454.75,507.91,370.41,530.74,329.07,559.48,673.51,385.28,19.91,613.25,525.95,440.75
"K11534",661.13,457,938.02,575.98,627.85,625.399999999999,679.34,815.38,784.8,788.61,449.67,1185.88,911.08,624.08,41.49,702.43,743.67,661.85
"K11535",1147.66,825.66,1574.32,1010.72,1077.79,1102.38,1104.79,1349.22,1366.93,1332.7,849.87,2040.97,1500.05,1151.65,42.36,1263.46,1316.96,1172.16
"K11537",348.65,204.74,529.08,248.47,277.37,440.95,251.04,356.75,255.81,314.88,133.74,311.5,310.13,301.35,21.43,155.91,147.53,189.97
"K11540",232.91,209.65,315.97,88.93,160.27,114.94,240.93,264.93,272.28,116.6,62.64,216.29,163.28,117.61,14.99,413.93,168.66,203.27
"K11593",3,0,3,2,0,8,1,1,0,7,0,1,7,1,1,7,9,12
"K11600",661.32,384.34,684.99,347.5,440.33,476.66,532.83,854.49,593.82,724.83,311.16,621.66,510.5,385.65,17.33,546.18,484.17,529.99
"K11601",188.5,108.33,248.67,129.99,122.83,153.58,172.75,187.17,154.16,305.33,204.33,364,393.17,206.66,8,238.33,228.5,224.5
"K11602",188.5,108.33,248.67,129.99,122.83,153.58,172.75,187.17,154.16,305.33,204.33,364,393.17,206.66,8,238.33,228.5,224.5
"K11603",209.5,116.33,292.67,133.99,136.83,173.58,239.75,241.17,208.16,305.33,208.33,366,394.17,208.66,8,239.33,230.5,226.5
"K11604",1084.19,756.11,1439.42,884.85,1075.07,950.29,1017.64,1211.38,1190.64,1265.07,708.23,1789.5,1384.16,1063.25,31.82,1314.29,1289.72,1132.54
"K11605",1084.19,756.11,1438.62,883.65,1074.67,949.89,1016.04,1210.98,1190.64,1264.27,707.03,1789.1,1381.76,1063.25,31.82,1313.89,1288.92,1132.14
"K11606",1084.19,756.11,1438.62,883.82,1074.67,949.89,1016.21,1210.98,1190.64,1264.77,707.03,1789.1,1381.76,1063.25,31.82,1314.06,1289.09,1132.81
"K11607",1093.19,757.11,1450.42,900.85,1078.07,961.29,1021.64,1217.38,1192.64,1292.07,722.23,1817.5,1424.16,1076.25,32.82,1332.29,1308.72,1143.54
"K11608",571.5,309.99,586.01,350.98,371.5,418.99,392.5,435.5,380.49,711,469,810,935.5,477,25,724,674.5,577.5
"K11609",870,505.66,876.84,543.82,620,664.66,532.5,562.5,514.16,976.5,616,1040,1249.5,658.5,40,1173,995,814
"K11610",422,242.33,455.17,259.16,280,320.33,277.5,314.5,274.83,446.5,282,485,576.5,310.5,18,563,479,391
"K11611",420,235.33,454.17,259.16,276,319.33,272.5,311.5,273.83,446.5,282,482,564.5,306.5,18,559,472,387
"K11614",63.49,57.49,81.01,56,51.18,71.99,66.27,104.59,116.5,59.5,40.67,116.92,77.24,60.56,1.25,46.99,62.62,40.66
"K11615",58.66,57.24,71.42,50.83,52.52,71.99,57.19,89.09,88,61.92,41.42,100.17,66.41,62.98,1.25,42.58,54.12,36.83
"K11616",358.53,277.72,502.97,293.47,342.14,345.13,316,404,365.29,357.67,236.73,535.56,377.14,249.86,8.64,301.24,326.23,300
"K11617",810.63,460.59,1025.89,541.06,717.11,836.22,541.95,660.53,556.41,855.3,640.04,1316.78,1174.18,753.99,31.16,1021.77,955.95,855.03
"K11618",1069.36,690.86,1334.81,699.46,897.67,1117.2,1102.65,1237.71,1125.61,1125.76,746.41,1868.64,1655.14,1011.31,86.95,1410.51,1312.2,1086.57
"K11619",452.75,244.66,485.44,258.83,373.69,376.58,249.58,258.03,194.89,556.34,405.67,957.59,780.86,417.5,13.25,603.5,525.53,523.53
"K11620",2,1,5.62,10,1,14.25,0,3,0,3,0,1,2,1.12,0.12,1,4.12,1.38
"K11621",398.5,199,415,200.67,319.83,315.33,213.83,218.33,148,489.17,340,868.17,720.33,343,11,545,480.17,474.17
"K11622",538.25,301.66,669.06,363.83,493.19,563.83,319.08,380.53,343.39,613.34,440.17,1039.59,841.36,479.12,19.37,663.5,564.15,558.91
"K11623",4,2,4,11.67,3.33,12.33,1.33,2.33,5,3,0,0,1,4,0,1,2,2
"K11624",4,2,4,11.67,3.33,12.33,1.33,2.33,5,3,0,0,1,4,0,1,2,2
"K11625",4,2,4,10.67,3.33,7.33,0.33,2.33,0,3,0,0,1,4,0,1,2,1
"K11626",31.42,26.33,34.83,22.5,23.41,35.91,15.91,26.75,20.17,41.51,29.67,62.76,40.08,42,1.25,17.5,28.09,23.09
"K11627",101.32,34.34,50.99,22,46.33,25.66,45.33,67.99,55.32,32.33,16.66,23.66,54,32.65,0.33,48.68,46.67,40.99
"K11628",190,87,180,129,120,140,82,93,99,87,60,79,113,80,7,269,211,136
"K11629",405,201,430,204.67,333.33,335.33,218.33,225.33,154,496.34,346,869.34,727.66,346,11,550,488.34,477.34
"K11630",424.06,224.27,450.13,219.07,347.06,345.73,230.53,235,162.2,509.8,362.2,899.2,742.79,354.2,11.67,566.07,512.8,496.67
"K11631",445.12,247.54,470.26,233.72,368.79,358.46,244.73,245.92,196.4,525.76,379.4,934.31,758.92,367.4,12.34,584.14,539.26,516.25
"K11632",432.56,240.27,463.13,235.32,361.56,355.06,233.03,248.25,173.2,514.13,363.2,911.28,744.46,356.2,11.67,571.07,513.63,496.75
"K11633",2,1,2,10.67,1.33,7.33,0.33,2.33,0,3,0,0,1,1,0,0,2,1
"K11634",2,1,2,10.67,1.33,7.33,0.33,2.33,0,3,0,0,1,1,0,0,2,1
"K11635",142.14,113.29,192.88,89.08,127.92,192.98,67.31,128.2,181.89,165.51,128.01,236.17,149.09,169.2,5.87,110.24,121.02,102.38
"K11636",190.26,164.73,236.31,102.74,160.22,198.89,95.22,173.43,233.51,245.6,202.1,369.76,228.68,259.08,7.25,152.49,171.15,155.5
"K11637",375.92,184.33,356.83,180.5,305.91,291.91,181.41,185.75,132.17,490.34,339.67,892.59,730.75,312,12.25,481.5,451.92,446.92
"K11638",388.92,191.33,435.83,190.5,313.91,319.91,211.41,236.75,156.17,490.34,339.67,892.59,730.75,312,12.25,481.5,451.92,446.92
"K11639",2,1,2,10,1,7,0,2,0,3,0,0,1,1,0,0,2,1
"K11640",2.5,0,4,0,1.5,5,1.5,2,0,3.17,1,0.17,3.33,2,0,2,2.17,1.17
"K11641",2.5,0,4,0,1.5,5,1.5,2,0,3.17,1,0.17,3.33,2,0,2,2.17,1.17
"K11645",2428.99,1769.62,3395.22,1503.76,1972.56,2538.5,2697.24,3462.46,2803.55,2777.67,1577.17,4178.23,3134.08,2505.89,267.79,3886.85,2995.1,2746.12
"K11646",618.98,328.66,596.5,277.66,399.18,367.41,348.83,601.99,390.16,712.07,305.66,625.66,444.5,336.48,18,503.92,439.91,513.57
"K11685",380,270.61,586.17,374.51,379.37,417.93,408.24,512.49,471.46,480.55,285.21,717.12,567.86,407.82,11.71,483.94,478.53,452.07
"K11686",433.92,230.33,454.33,226.5,349.41,354.91,237.41,258.75,187.17,549.34,393.17,943.59,770.25,394,13.25,590.5,517.92,516.42
"K11688",1345.26,951.26,1774.5,612.62,1116.47,1232.04,587.6,688.6,648.38,1383.03,575.45,1201.74,1843.05,1720.6,111.99,1129.69,979.81,800.46
"K11689",292.43,121.93,387.33,185.12,202.14,237.71,102.77,144.6,105.55,99.36,32.95,117.4,146.55,162.93,7.99,71.19,64.47,49.79
"K11690",1986.93,1352.43,2352.83,942.87,1592.14,1662.96,1127.77,1271.85,961.05,2290.11,1260.95,3328.15,3172.55,2106.93,173.49,2245.94,1911.72,1786.29
"K11691",23.5,17,104.5,28.67,14.33,67.33,41.83,76.33,56,15.17,9.5,6.17,15.83,10,1,22,15.17,18.67
"K11692",27.5,20,127.5,31.67,30.33,83.33,51.83,90.33,97,16.17,10.5,15.17,17.83,16,1,23,20.17,18.67
"K11693",28.39,39.6,35.24,30.65,29.84,21.73,16.2,23.03,19.42,17.96,17.2,42.11,18.24,11.2,0.67,21.07,25.57,19.69
"K11694",9,16,15,16.25,16,9,4,13.25,11,4.5,1,12.25,3,3,0,5,1,0.25
"K11695",9,16,15,16.25,16,9,4,13.25,11,4.5,1,12.25,3,3,0,5,1,0.25
"K11704",653.85,358.65,780.57,352.56,548.79,549.31,445.04,553.53,375.99,700.54,515.79,1151.11,1049.07,557.58,22.67,860.19,836.52,746.49
"K11705",701.85,386.73,847.66,375.39,579.78,635.81,521.45,678.44,431.24,753.87,522.29,1204.61,1077.98,583.58,33.67,883.35,863.02,757.57
"K11706",631.85,342.48,757.16,347.89,532.69,534.31,429.7,517.19,362.99,687.87,501.37,1132.94,1035.98,540.42,22.67,834.18,822.68,728.07
"K11707",105.42,86.6,185.77,83.68,154.07,143.73,170.15,226.81,205.1,86.6,45.17,89.9,81.13,83.12,6.72,115.52,111.74,93.36
"K11708",96.17,73.1,169.02,75.68,136.42,134.78,127.9,176.06,167.1,77.7,41.92,81.4,69.13,71.92,6.47,110.77,102.04,87.36
"K11709",96.17,73.1,166.02,75.68,136.42,133.78,126.9,169.06,166.1,77.7,41.92,81.4,69.13,71.92,6.47,110.77,102.04,87.36
"K11710",389.9,320.37,518.82,225.08,317.48,459.51,732.1,845.24,729.3,381.16,160.79,682.26,567.59,361.12,74.14,496.51,473.17,326.02
"K11711",484.33,260.33,556.67,187.33,274.5,382.5,204,191.17,215.33,287.5,108,230.67,463.17,268.67,25,220,86.17,122.5
"K11712",489.33,261.33,557.67,189.33,280.5,386.5,206,198.17,217.33,306.83,113.33,259.67,517.17,312.67,29.66,226,87.17,122.5
"K11717",10040.74,7871.08,13427.91,5957.21999999999,8152.76999999999,9688.08999999999,9162.63999999998,11206.56,9314.69999999998,11389.75,5917.2,15008.47,13836.9,10742.04,1287.57,14051.8,11597.4,10124.25
"K11719",4800.96999999999,3641.51,6005.36999999999,2622.58,3871.53999999999,4371.23999999999,3333.8,3779.45,3362.59,5549.97999999999,2863.94,6953.66,7297.59,5666.83999999999,674.9,6262.59,4941.31999999999,4341.51999999999
"K11720",9345.55,7285.35,11528.86,5021.05,7735.93,8314.78,7322.55999999999,8834.31999999999,7796.55999999999,10244.75,5604.91,13893.64,13059.05,9474.92,1087.1,12504.42,10110.04,9291.15
"K11731",941.14,743.19,1356.99,482.55,737.26,1003.9,958.49,1042.13,912.45,1088.13,478.71,1255.48,1592.83,1348.84,128.9,1276.39,1121.11,827.72
"K11732",380,270.61,586.17,376.51,381.37,419.93,408.24,513.49,472.46,480.55,286.21,719.12,567.86,413.82,11.71,484.94,478.53,453.07
"K11733",936.96,663.05,1349.29,827.42,878.85,1025.14,923.6,1123.42,1119.92,954.84,573.88,1384.58,1084.55,826.95,43.6,867.58,884.23,825.52
"K11734",1193.08,758.16,1571.24,926.45,1048.31,1046.61,1118.34,1324.42,1338.7,1238.05,680.64,1772.12,1470.46,1019.51,95.96,1015,1099.21,954.96
"K11735",1484.3,915.43,1699.08,954.89,1053.23,1141.9,1156.47,1376.89,1203.01,2394.47,1444.03,2978.11,2946.22,1534.23,112.43,1921,1880.06,1789.59
"K11736",639.75,436.01,911.95,563.04,608.45,600.489999999999,669.67,795.72,755.6,713.53,436.9,1075.45,819.8,563.94,19.48,690.69,715.09,643.64
"K11737",1337.01,881.77,1760.66,1095.08,1120.61,1274.2,1181.9,1401.82,1327.23,1378.65,822.29,1820.6,1609.11,1055.29,45.15,1615.1,1515.65,1291.49
"K11738",1386.21,849.04,1869.62,1136.26,1167.99,1258.91,1371.95,1599.13,1425.8,1389.81,842.06,1849.33,1652.82,1094.78,49.06,1492.78,1446.43,1297.07
"K11739",35.18,16.35,70.64,37.78,25.76,43.11,50.47,73.97,41.58,43.64,43.59,59.77,73.57,41.38,0.29,30.7,25.54,31.98
"K11740",277.98,265.95,379.34,142.98,239.46,251.11,191.67,220.67,178.38,263.87,130.09,380.1,359.97,233.58,18.29,311.8,247.64,228.08
"K11741",5800.09999999999,4406.60999999999,7611.93,3238.8,4462.97999999999,5333.64999999999,5073.38999999999,5591.85999999999,5288.04999999999,6521.07999999999,3101.82,8726.59,8896.02,6694.56,977.69,7264.64999999999,6025.91999999999,5246.17999999999
"K11742",882.19,500.1,1195.79,684.82,753.59,772.63,672.77,813.32,760.809999999999,771.31,427.69,1096.36,884.68,655.87,22.64,681.48,699.3,635.84
"K11743",882.19,500.1,1195.79,684.82,753.59,772.63,672.77,813.32,760.809999999999,771.31,427.69,1096.36,884.68,655.87,22.64,681.48,699.3,635.84
"K11744",620.09,413.18,892.12,542.04,590.79,591.829999999999,604.18,736.56,691.77,683.2,411.07,1025.79,787.64,553.11,17.98,659.54,668.25,618.97
"K11745",940.409999999999,543.14,1278.91,733,786.77,935.98,774.139999999999,949.7,913.76,849.16,445.03,1119.94,941.97,720.12,30.63,763.51,741.03,690.94
"K11746",1152.95,712.68,1564.89,961.59,997.32,1130.19,1063.46,1313.77,1300.03,1122.16,639.67,1633.03,1241.76,886.73,29.28,1103.91,1110.72,1028.33
