"WDG002"	"WDG004"	"WDG018"	"WDG033"	"WDG040"	"WDG048"	"WDG058"	"WDG087"	"WDG092"	"WDG127"	"WDG132"	"WDG140"	"WDG146"	"WDG154"
"K00087"	0	0	0	0	0	0	0	8.26739527674824e-07	0	0	0	0	0	0
"K00088"	3.69124525977759e-05	1.31876355058889e-05	1.10677972684543e-05	3.18789330821661e-05	0.000107847572594823	8.59139179762809e-06	1.94734454142987e-05	0.000114307855523442	2.6316838439765e-05	2.42197668864054e-05	3.08517228296862e-05	2.76451467382943e-05	8.84719468727422e-05	3.22887888866172e-05
"K00090"	0	0	1.25991432005195e-07	4.17165181952198e-07	1.47128205647338e-05	0	0	6.83706033837692e-06	0	0	0	0	2.94626748574391e-06	0
"K00094"	0	0	0	0	0	0	0	8.35164335172314e-07	0	0	0	0	0	0
"K00096"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26332473782128e-07
"K00097"	1.46912111734745e-06	0	8.9974289485438e-07	1.31944828153675e-06	2.57993476330586e-05	4.99608973420908e-07	8.46060454383633e-07	2.60625010085818e-05	1.57480130462292e-06	1.45991121652565e-06	1.18387177592037e-06	7.7622942382497e-07	2.00892878394179e-05	1.40494502489914e-06
"K00098"	0	0	0	0	0	0	0	7.76426967055823e-07	0	0	0	0	0	0
"K00099"	5.68350670139657e-06	1.43136322819218e-06	1.63972037829452e-06	3.59395643875938e-06	2.20739017830348e-05	1.47551986975612e-06	2.7766449042307e-06	1.68019717896215e-05	0	0	9.18878558333685e-06	2.50820018572694e-06	1.34328295532788e-05	4.3859339674661e-06
"K00100"	6.80532915838927e-07	2.31420026724313e-07	2.64423747529192e-07	6.60500697031979e-07	2.44696055882118e-05	5.47732439380907e-07	0	3.44211286511241e-05	0	0	0	2.14693445451465e-07	2.4573615742168e-05	3.47890752126248e-07
"K00101"	5.92629944185892e-07	3.14101639503959e-07	0	6.89615903288829e-07	4.02003610936067e-05	0	0	3.04812325924911e-05	0	0	0	3.98852351322993e-07	1.97190728687238e-05	0
"K00102"	0	0	0	0	7.82794135049438e-06	0	0	2.20446318105328e-06	0	0	0	0	1.22691591197496e-06	0
"K00104"	0	5.21004872778407e-07	3.53462673136965e-07	0	2.43627567219365e-05	0	0	7.11272027763103e-06	0	0	0	0	3.61732875155169e-06	4.49361194084412e-07
"K00108"	0	0	0	0	1.16520012725947e-05	0	0	3.78297736786985e-05	0	0	0	3.40296009776844e-07	2.41282253915696e-05	0
"K00111"	4.4257404276795e-06	1.56562710983399e-06	1.81938798046138e-06	4.18381061296609e-06	1.77771959472239e-05	6.05611079479811e-07	3.72220074024305e-06	3.09905090862091e-05	4.85781089534445e-06	9.85169764020004e-06	1.33876313041828e-05	7.57289920037692e-06	1.96958283902866e-05	4.33984004815481e-06
"K00112"	0	0	0	0	2.34601135677715e-07	0	0	7.56792905863238e-07	0	0	0	0	3.27111825899293e-07	0
"K00113"	0	0	0	0	5.26507557012966e-07	0	0	1.09875367154385e-06	0	0	0	0	3.74932043625531e-07	0
"K00114"	0	0	0	0	6.21315071012713e-07	0	0	0	0	0	0	0	3.0775855754048e-07	0
"K00116"	0	0	1.79374051821886e-07	3.74518262315797e-07	3.43798143520244e-06	0	0	8.56178319677936e-05	0	0	0	4.57290211506536e-07	2.45201043646872e-05	0
"K00117"	2.91211826539314e-07	0	0	3.51282524263002e-07	1.65997903504847e-06	0	0	4.64086093326132e-06	0	0	0	0	3.46957494607022e-06	0
"K00121"	0	7.351387706269e-07	2.4414138752043e-07	5.82249799575818e-07	7.45658302973462e-05	0	0	9.43839584511676e-05	0	0	0	9.07080138157393e-07	4.21973820549453e-05	8.52048707254275e-07
"K00122"	0	0	0	0	1.29909152508616e-07	0	0	1.56696174742668e-05	0	0	0	2.99533920766536e-07	9.05294692006807e-07	0
"K00123"	7.583593011599e-07	5.30512689648672e-07	6.43993860929506e-07	2.02321526200494e-06	4.49981838079579e-05	7.07138298969826e-07	5.76771243845256e-07	4.07778506515902e-05	0	7.03424681071793e-07	0	1.06481199231084e-06	2.14223008630269e-05	7.88738886446012e-07
"K00124"	0	0	2.89876642176682e-07	4.73947779286109e-07	2.16891465462428e-05	0	3.41267634643885e-07	7.14947419106499e-06	0	0	0	0	2.39454102308012e-06	0
"K00127"	0	0	0	5.8871319955405e-07	5.04724472433743e-06	3.76814716587838e-07	0	1.76454089909269e-06	0	0	0	0	8.43718369839725e-07	0
"K00128"	1.25535141244525e-06	3.70219846923763e-07	4.138905127306e-07	1.25611399307359e-06	4.48659988128377e-05	0	6.7571798907573e-07	0.000100091534129743	1.01127847087081e-06	0	0	1.5771710641839e-06	6.2184562630133e-05	1.41200519885086e-06
"K00130"	0	0	0	4.25836939151415e-07	2.60538339317827e-06	0	0	3.20395919429056e-05	0	0	0	3.62059007000401e-07	1.93161823002651e-05	0
"K00131"	0	0	0	0	2.19235099870754e-07	0	0	0	0	0	0	0	0	0
"K00133"	1.91037655562133e-05	6.6333330551877e-06	6.2259396504053e-06	1.5997199986781e-05	5.74536127399037e-05	3.73945264885535e-06	1.24159554029602e-05	8.12090817900712e-05	1.57299263257352e-05	1.45802793193119e-05	2.37286347481739e-05	1.07833891443911e-05	5.37648943160681e-05	1.51548779677731e-05
"K00134"	6.99955313340632e-05	5.57795424170956e-05	4.11345032570288e-05	7.88148165396938e-05	0.000108767974179743	4.18309416460384e-05	6.63555545311369e-05	0.000137902234762669	6.67025067323337e-05	6.44288326071588e-05	6.02870735604275e-05	4.94511137392006e-05	0.000113069603188528	7.31660568213092e-05
"K00135"	0	0	3.28297768816684e-07	1.10081606814814e-06	1.68253728779675e-05	4.36242492059526e-07	0	3.19401745341321e-05	0	0	5.88666629020984e-06	6.04581631091551e-07	1.91281797700688e-05	4.65565974432857e-07
"K00137"	0	0	0	0	2.1447388662366e-06	0	0	4.67325964192601e-06	0	0	0	0	3.32220360779307e-06	0
"K00138"	0	1.26444190458505e-07	0	2.53924864105042e-07	1.78078251382403e-06	0	0	2.36672238309982e-06	0	0	0	0	4.72495479354974e-07	0
"K00140"	3.59886439510717e-07	0	0	8.7833357310062e-07	3.38332394081896e-05	0	0	2.95284237632283e-05	0	0	0	0	1.73831827687365e-05	6.64694128546754e-07
"K00141"	0	0	0	0	1.32213025506529e-06	0	0	2.44400231526743e-06	0	0	0	0	9.19473322338436e-07	0
"K00145"	3.57105541420428e-06	1.23390361713092e-06	4.96240015188317e-07	2.94194458501781e-06	2.57782471036612e-05	9.36637612670434e-07	1.10614131951817e-06	2.05999534915243e-05	0	1.88151129797402e-06	5.0063483759942e-06	1.6485769939818e-06	1.29624932675784e-05	1.28531984106224e-06
"K00146"	0	0	0	0	0	0	0	2.135399370844e-07	0	0	0	0	3.70553658582967e-07	0
"K00147"	8.50482374171212e-06	3.54731117378361e-06	3.15883193073776e-06	8.07234859892151e-06	4.03508607210869e-05	3.78606345267386e-06	4.94399670961923e-06	3.39121244089271e-05	4.74073651969008e-06	7.71606796091986e-06	1.08905245608291e-05	6.94991613741454e-06	2.48416480647562e-05	8.70105561424513e-06
