"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K16043",0,0,0,0,0,0,0,0.5,0,0,0,1,0,1.5,0,0
"K16044",8,6,18.5,0.17,0.17,9.33,56.67,3.33,87.5,3,0.67,4,15,5.5,23,2.5
"K16045",19,0,0,0,0,46,1218,19,10,4338,71,8,1,1,74,0
"K16046",19,0,0,2,2,46,1225,29,10,4657,71,8,1,1,119,0
"K16047",19,0,0,0,0,62,1232,20,26,5001,87,12,7.36,1,176,0
"K16048",19,0,0,0,0,46,1225,19,10,4657,71,8,1,1,119,0
"K16049",19,0,0,0,0,50,1225,19,14,4657,71,9,2,1,119,0
"K16050",19,0,0,0,0,46,1225,20,10,4975,87,8,1,1,164,0
"K16051",0,0,0,0,0,8,14,0,8,320,0,2,2,0,45,0
"K16052",832.92,403.92,3775.5,201.1,437.76,3117.65,3894.95,2256.69,24438.67,1946.61,675.59,740.01,1985.51,148.41,534.58,2709.92
"K16053",1209.83,1989.63,1938.41,681.29,1872.96,1553.34,1412.08,1754.8,8781.38,1388.04,1674.79,1245.28,1742.39,767.42,864.8,5128.48
"K16055",20,2,5,1,7,15,5,8,34,59,133,15,27,12,33,8.5
"K16066",1146.59,7815.66,7181.96,656.17,1810.29,1271.76,1287.92,14931.71,7911.11,994.59,1890.28,861.19,1389.9,528.85,721.6,6062.95
"K16074",1262.15,8457.11,7608.26,689.67,1911.4,1685.5,1368.47,15941.49,11094.16,1344.93,2347.55,939.2,1890.19,560.82,807.69,5274.56
"K16076",364.67,200.25,920.25,575.59,1633.67,459.5,237.71,266.81,3024.25,161.28,275.58,339.34,472.67,95.33,463.92,2111.92
"K16077",1081.53,9434.46,6735.91,619.25,1710.58,1995.29,1015.78,14527.14,6357.25,890.66,1160.16,804.88,876.17,491.78,681.96,4559.92
"K16078",134,78,89,20.99,38,23,127,66.01,485.99,29,125,191,872,16,53,1007.99
"K16079",171,53,185.5,32,51.5,371.5,258,54,709.5,34.5,324.5,203,146.36,16,39,361
"K16080",0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
"K16087",2993.85,15258.77,17141.2,961.63,2454.05,5027.19,5169.75,31932.54,38004.27,4087.98,4476.17,2995.02,6707.9,1070.83,1731.45,13529.85
"K16088",464.56,507.6,1347.78,629.49,1763.98,590.98,674.89,1209.56,6142.9,2331.84,1089.6,518.33,994.7,130.5,517.4,4863.35
"K16089",2312.51,8538.51,9385.64,899.69,2282.36,2663.07,2141.54,16083.51,13640.96,1864.61,3824.04,1651.93,6606.8,735.83,1163.77,7109.38
"K16090",145.67,795.22,177.55,26.39,38.37,328.82,321.83,255.17,912.79,652.42,277.55,98.04,213.66,75.53,282.42,2631.39
"K16091",315.29,811.16,483.63,46.46,137.91,391.46,2653.33,725.36,4475.17,901.74,712.99,421.96,925.21,169.21,307.59,1400.72
"K16092",11128.59,10606.66,14102.96,1242.5,2871.29,5617.76,7758.63,18767.52,46960.44,4733.45,25725.28,21617.19,28823.76,6429.85,5489.6,10753.78
"K16095",14,88,117,2,0,23,12,2,3,0,33,10,13,1,0,22
"K16120",14,88,117,2,0,23,12,2,3,0,33,10,13,1,0,22
"K16135",434.53,884.61,386.23,39.89,67.51,475.98,620.2,324.99,1621.92,716.33,401.73,361.06,464.02,407.05,330.62,1850.81
