"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K01534",40720.17,55053.35,41463.73,32495.17,55081.33,52869.03,39899.25,31589.14,69473.46,54412.94,6663,28124.3,37282.45,44954.63,43194.71,8065,78296.16,67606.17,70249.1,48990.62,94221.34,62569.47,53434.83,40666.33,62534.87,60695.04,53149.68,36678.53,57817.27,52400.61,61283.56,34637.83,56049.09,55386.1,42057.23,67416.48,61295.6,54051.92,31178.77,59111.92
"K01535",0,0,0,0,385,348,382,0,200,0,0,0,0,0,0,0,0,99.5,0,0,0,65.5,0,0,570,174,478,0,0,124,294,0,0,617,0,575,726,553,301,531
"K01537",32990.67,38534.33,29698.37,23777,61844.83,56825.26,47294.4,36020.07,56037.73,49823.64,5052,26959.4,37376.64,34765.5,35509.1,7262,45567.16,58926,48365.8,44015.73,16442.17,49496.4,17115.5,25827,64079.77,59323.1,50189.5,34168.27,55001.13,54504.8,54328.2,37747.17,52290.8,56841.13,45931.2,64111.49,63530.96,54300.13,20717.8,57726.24
"K01539",382,553,444,404,491,681,465,310,805,652,176,504,521,556,486,116,660,784,726,570,264,727,305,521,629,0,348,309,484,376,314,340,474,427,307,531,374,399,0,365
"K01545",0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,659,0,0,0,0,591,0,0,1004,0,627,0,1028,0,0,85,189,0,0,0
"K01546",35807.84,53069.17,35636.2,31786.92,33525.66,34074.76,33094.12,18858.91,53964.24,47123.81,7973,35631.15,35549.47,47597.71,40949.93,10954.5,60379.42,63327.84,55482.29,39960.4,92169.51,59241.57,48370.83,14513.33,38666.77,33787.43,28796.42,19120.77,34166.98,34602.8,39931.86,22411.5,26092.29,35678.13,28142.03,43161.32,38064.29,31436.8,15360.47,35560.96
"K01547",32197.84,48700.34,31173.53,28820.42,33414.16,33126.76,32921.79,18671.24,48341.91,42440.81,7973,31482.15,34084.97,43052.71,37673.6,10954.5,55396.42,57012.17,49705.29,35448.73,89337.84,56236.74,46298.83,11402.33,38292.77,33562.43,28586.42,18930.1,33795.65,33893.8,39718.19,22411.5,25903.29,35420.13,28142.03,42919.99,36826.96,30500.8,15123.8,34365.29
"K01548",35807.84,51850.17,34813.2,31786.92,33525.66,33315.76,33094.12,18858.91,53078.24,46017.81,7973,35631.15,35549.47,47597.71,39872.93,10954.5,58754.42,60180.84,53761.29,38040.4,91442.51,58150.57,48370.83,14513.33,38666.77,33787.43,28796.42,19120.77,34112.98,34255.8,39931.86,22411.5,26092.29,35636.13,28142.03,43161.32,37014.29,30500.8,15360.47,34665.96
"K01551",14273.67,27496.01,16122.7,9769.42,28637.83,24707.43,22596.29,17043.57,26286.4,32959.48,1881,13598.65,17613.97,16991.91,18656.27,4517,27240.92,30398.17,24328.96,24555.73,7334,20392.9,6163,10303.33,29802.93,26771.94,26281.26,21278.1,27908.97,25630.31,28717.53,13824,25659.96,25025.63,16893.7,28072.83,33128.96,24514.13,6453.3,29163.95
"K01555",16044,34244.67,18917,20779,10059.83,8310.5,7014.83,5843.5,34072,28820.67,7975,28580,28504.83,26735.33,19112.67,7446,37465.5,41460.17,36955.34,22738,11514,28662,9114,6350,9977.5,10238.67,10907.67,8357.17,13177.17,8944.67,9881.33,5901.67,8371.83,9188.33,6041,13115.66,8442.16,9270,1185,11655.33
"K01556",21444,37552.17,25098.5,23529.75,24927.83,24368,18887.83,14016.5,46680,38875.17,10794,31351.25,27645.83,34441.08,26670.67,9074.5,36686.75,48438.67,41870.84,29253.5,15145,39874.5,13646,17924,22411.5,24781.67,24541.92,17423.67,24959.84,22665.17,24859.83,16536.17,25019.33,24231.83,17924.5,31968.99,25620.66,23851,7943,27618
"K01560",33357.5,49822.17,30573.7,19638.5,72447.33,67153.93,60702.23,48810.9,60487.73,54038.8,9952,33754.4,39427.8,39156.5,43882.77,8756,59115.83,68870,54056.47,39843.73,296197.02,43554.9,142243.16,30178,72356.6,73140.77,70520.5,57322.77,78374.8,66261.8,86712.53,50020.67,73388.13,67239.63,57673.7,79662.16,77888.63,68857.8,24242.8,67041.23
"K01561",7197,15131,6504,7952,24361.16,22200.66,20809.5,10827,14385.5,11937.17,2686,9946,12410,12451,12465.5,2058,13919,21217,11973.5,12029,71033.34,13379,32422.33,2373,21528.34,16890.66,15896.66,10670.5,20228.34,21327.66,21147.66,17031.34,16124.66,19645.66,16952.5,22077.66,21862.66,19183,5161,19591.5
"K01563",3731.17,11010.83,6930.5,2185,15215,13264.5,13589.83,9404.34,15509.67,15285.5,2199,4060.5,8870.67,13673,10363.83,3970,14147.33,20730.67,9343,10125.5,4909.17,9721.17,3414,11064,16382.67,15887.83,15346,11325.67,15140,13474.83,17845.5,7611.33,14615.5,15165.67,12826.33,17325.16,17628,14084,5440.17,14625.34
"K01565",0,0,0,443,2386,253.5,368,334,271,375,0,0,126,140,0,0,293,445,134.5,347,204,0,224,0,272,510,486,1224,590,439,356,101.5,527.5,225,456,313.5,468,386,0,472
"K01567",8894,9444,11590.5,9036.75,5774,6895,2599.89,4552,12341,7966.5,2819,4076.25,6946,8314.75,7460,2386,11293.75,13759,12178,8662,5849,13712.5,4236.5,13476,7022,7464,5210.25,4409.5,5365,5839,7974,4423,7391,7769.5,5939,8249.5,9119,5946,3600,6490.39
"K01569",2266.67,1421,3230.33,841,385,1144,936,443.67,4623.34,3048.33,0,181,4071.67,4416,620,2003,2583.33,4211,2907,2870.33,1578,5600.34,186,4658,749.67,716.33,608,92,634.67,657.33,1889.33,465.33,646,994.67,538.33,812.33,1254.67,591,276,681.67
"K01571",1241.17,8508.84,1804,1094.17,3586.83,3850.66,2054.67,1813.67,5116,5543.67,176,2341,4096.84,3124.33,1729,116,6410.67,5523,6240.32,5578.83,1348,5676,1129,1496.33,2817,3602,3334.67,2638.83,3912.67,3198.67,3267.83,2184,3306.66,4327.33,2958.5,3919.5,3864.83,3016.33,924,3931.33
"K01572",0,27,0,44,330,180,40.89,0,306,0,0,0,82.5,178.5,0,0,304,239,80,811,0,276.5,0,0,106,209,0,1038,993,0,203,248,0,1188,576,0,341,0,0,73.89
"K01573",0,0,0,0,0,180,0,0,0,0,0,0,0,178.5,0,0,0,0,0,724,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01574",5480,5613,4142,4287,21748.5,19904.17,17268,9411,9953.67,9259.67,1343,7046,11618.83,8369.33,7941,2058,6904.17,12585.67,10275.67,7703.67,3998,12518,1096,0,18139,14604,13893.67,9037,15575.17,18489.67,14463,12597,13250.5,16168,15049,19090,19050.83,17723,4439,15314
"K01575",282,1637,1702.7,307.75,411,1445.1,298.4,396.4,2041.4,3220.3,0,1143.65,1393.8,1797.75,2178.6,0,2000.75,4612,3688.3,2039.4,2688,2091.9,1496.5,0,434.6,456.6,656.25,582.6,864.8,897.8,458.2,526.5,594.3,713.8,357.2,886.5,1996.8,1430.8,458.8,1436.4
"K01576",16974,16706,12909,7546,25018.33,22112.33,22081,15810,26361,29285.5,4567,11212,17884,16381,18251,2550,18156.5,27781,22787,24564,5971.5,21877,7253,5305,27864.67,25163.33,24516.33,17907,27770.67,23145.33,25134.33,15478.67,24958.33,23528.33,19596,27366.33,28282.33,20886,6459,25823
"K01577",1717,1415,1876,1426,1538,1206,1002,1012,2214,2620,1343,2903,3678,2139.3,2168,0,1635,4807,1808,1751,1599,3659,1073,0,1303,1680,1287,1051,2407,1257,1829,1165,1028,1311,1275,1841,1691,1614,0,1475
"K01578",5480,7230,4491,4075,22759.5,20968,19226.5,11374,9060.5,9621.5,1343,5877,7618,10410,8868.5,2517,11978,13054,10960.5,9878,67994.34,9617,32748.33,2373,19948,15532,13812,10781.5,17321,19856,20461,13685,14209,17850,17266.5,20243,20069,18871,5161,18331.5
"K01579",53085.84,74065.01,53684.03,39611.92,70712.16,65955.26,56522.79,41948.24,86951.91,73033.64,7073,39632.15,56008.47,58924.71,49580.1,8969,85566.92,84862.67,76113.79,63107.23,28030,75308.24,25263.5,32796.33,75667.27,74928.43,65457.42,47345.6,75441.15,65880.8,71992.69,42165,63086.79,73093.13,54131.53,83607.99,75182.46,66662.8,19371.3,72540.29
"K01580",0,3933,3218,0,5271.5,3350.17,4422.83,2744.5,6325.67,6432.67,0,0,6040.16,7638.93,3634,1967,5440.17,6941.67,4777.67,6205.67,2407,5104,809,4658,5874.83,5278.67,5113.67,3973.17,7195.17,4803.67,5610,0,3735.5,5159,4596,5015,7653.83,3460.67,0,4455.33
"K01581",13505,22556,12628,10418,56432.5,53833,48509,31713,31171.5,26907,2686,16763,28568,23876.6,19200.5,5072,26350.5,38528.5,25864.5,21537,80534.51,24474,39039.66,4275,51355,44535.5,44665,32973.5,48413,51597,48275,35905,42212,47658,41232.5,55064,51721,49227,19253,49628.5
"K01582",5248,10970,12184,7939.75,9597,9471,6689,6132,14982.5,10936,2819,3981.25,4720.5,8262.35,8831,2386,14599.75,15188,13320,7861,5207,11816,3749.5,10449,11805,11593,10727.25,7133,9001,10005,9946,4175,10219,10372.5,8231,12701,10498,8753,3600,10916
"K01583",0,0,0,0,0,0,0,0,0,1205,0,0,1219,0,0,0,0,0,0,1248,0,948,0,0,0,0,0,0,0,0,0,252,0,531,0,317,0,0,0,0
"K01584",6969,7613,6468,6019,5426,3797,2947,2859,8332,6972,2686,5676,7897,7425.3,5650,459,8773,9687,7223,4490,5311.17,6065,4712.33,0,4159,4930,4566,3303,6861.5,4698,3658,2961,3060,3289,3594,6772,4694,4295,865,4538
"K01585",6376.17,7899,7482,4461,23496.5,23222,20661.33,12425.34,22315,16224.5,0,7027.5,10699.34,16010.3,8077.5,723.5,28693.16,20811.67,24288.17,12210.33,8228.17,18312.17,5471.5,3196,24273.17,24637.5,22458.17,15984.17,26975,23111.5,25752,14437.83,20646,25468.17,17969.83,28910.82,27047,24998.33,7734.17,23421.51
"K01586",71225.34,99914.84,72821.2,57447.92,122218.49,110034.26,98225,71551.41,135159.74,113000.31,12849,65883.15,90381.96,94910.54,79542.6,18838.5,128796.42,133111.51,118408.13,93514.9,112362.51,117119.57,71289.33,43806.33,119826.43,116389.44,106988.09,81608.78,118476.65,109948.97,112782.69,70379.17,107446.12,113223.46,88405.03,132132.98,117348.95,108183.14,40552.97,116488.34
"K01588",67298.34,91476.84,66638.2,55373.92,111978.66,107363.76,93040.62,68743.91,123526.07,102366.64,12849,64336.15,79623.14,86819.21,76254.6,18379.5,118657.25,124232.34,107213.46,85443.23,107617.51,109205.57,68526.33,43241.33,114888.27,111440.1,101839.09,74081.27,113789.81,104813.97,110419.36,68438.5,101759.29,109187.13,83667.03,125656.65,113646.79,103061.13,40266.97,110504.96
