"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K13778",1717,1415,1876,1426,1887,1543,1366,1397,2214,2620,1343,1737,2221,2138,1603,0,1635,2853,1808,1751,1321,2303,1635,0,1303,1827,1413,1653,2628,1346,2158,1165,1180,1620,1375,2199,1784,1869,0,1475
"K13779",0,3294,0,0,349,337,364,385,0,0,0,0,0,0,0,0,0,1164,977,460,662,0,562,0,0,147,126,602,221,89,329,0,152,309,100,443,93,255,0,0
"K13786",1717,1415,1527,1426,2355,1975,1644,1012,2960.5,4002.5,1343,2912,3777,3016.5,1978.5,0,3332,3975,2638.5,2216,68387.34,2303,30789.33,2373,1959.5,3052,2433.5,1984.5,4373,2229.5,9409,3000,2527,2487.5,2246.5,3425,3261.5,3100,722,3361
"K13787",17998.17,34825.34,25731.17,12353.67,15068.82,15420.16,16134.15,10969.84,39192.17,31888.68,1710,14812,29701.15,24374.32,17033,3934,30701.51,39545.18,30491.5,28503.84,9870.67,30501.33,9419.5,12277.33,20042.66,18678.51,18161.34,13479.85,20448.85,15653.34,20066.49,10119.01,18154.15,19745.32,15486.5,20904.15,20609.64,17456.01,4506.67,22141.15
"K13788",12902,10249.5,10449.5,8794,1283.33,2470.33,3166.83,2497.5,8757,2619.5,854,5050.5,3583.33,6551.3,8465.5,1967,6180,6420.5,2035.5,3068.5,4902,11629.5,5547,4658,5172.5,4675,2238.33,1539.17,5191.34,1966.33,6980.83,3458.67,839.33,7259.33,4405,6203.66,5681.33,3161.67,0,5398
"K13789",46603.17,49292.5,44985.03,37246.25,59936,58962.6,49761.29,36068.74,75236.24,60897.8,9796,40834.15,39858.97,58120.75,53334.6,12939.5,78808.58,72229.5,69188.3,53773.73,86987.84,74657.24,52523.83,32984,67923.77,65916.93,54949.25,38711.77,63196.47,57556.13,64647.53,35325.83,55233.8,62673.97,43206.53,70759.49,64901.3,55189.8,20541.97,60955.3
"K13794",0,0,349,0,665,678,943,404,0,688,0,0,442,806,0,0,1704,0,1183,525,1272,0,1982,0,558,761,522,408,599,939,0,631,646,667,723,510,1045,599,0,1120
"K13795",1717,1415,1876,1426,2203,1884,1945,1416,2214,3308,1343,1737,2663,2944,1603,0,3339,2853,2991,2276,1931,2303,3055,0,1861,2441,1809,1459,3006,2196,1829,1796,1674,1978,1998,2351,2736,2213,0,2595
"K13796",1717,1765,1876,1426,2203,1884,1945,1416,2579,3308,1343,1737,5222,4829,1603,0,3339,4017,3968,4378,1931,2303,3055,0,1861,2441,1809,1459,3006,2196,1829,1796,1674,1978,1998,2436,2736,2213,0,2595
"K13798",197,421,344,300,299,293,232,186,490,1318,0,770,172,944,578,0,537,457,478,339,141,416,139,179,289,385,260,190,281,291,296,0,275,297,0,388,336,291,0,331
"K13799",0,177,106.5,0,0,0,0,0,516.5,236.67,0,463,579,844,69,0,812,370.5,611,111,0,228,0,0,0,26,52,39,0,25,726,181,0,0,0,0,174,93,0,81
"K13810",16409.84,16311.68,13663,8557.34,29552.66,27165.32,25632.34,18939.34,26326.5,30565.84,2544,11731,21163.68,17556.16,17358,2666,22539.84,27200,22508.64,25294.16,6599.5,24108,8423,7637.66,33127,30120,28649.34,21326.66,32247.34,28373.34,29559.16,17666,29247.32,29403.66,22780.5,30746,29468.16,26560.66,6867,30326.16
"K13815",0,0,0,0,1023,1112,1000,969,0,0,0,0,0,0,0,0,0,666,0,0,0,0,0,0,709,945,842,854,1052,792,2957,1180,935,1536,923,958,1383,1036,579,1333
"K13816",0,0,0,0,1023,1112,1382,969,0,0,0,0,0,0,0,0,647,1734,0,968,1267,0,0,0,709,945,842,854,1052,792,2957,1180,935,1536,923,958,1383,1036,579,1333
"K13818",0,115.5,0,118.5,0,0,0,0,0,0,0,0,0,0,0,0,0,77.5,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K13819",720,1733,848,823,1290,1133,242,0,3392,2161.67,0,1525,1659,1916,1217,459,2124,2557,2694,1133,406,1392,690,1360,1098,1200,1124,462,1303,1330,906,277,646,1062,371,1064,1316,968,301,1255
"K13820",0,319,0,212,227,0,40.89,476,0,0,0,0,0,0,0,0,223,0,0,0,0,362,0,0,649,822,260,519,478,0,1266,0,0,594,288,279,594,0,0,73.89
"K13821",24652.67,33742,25643.83,16650,47979.5,46578,44905,32262.67,44877.84,31675,2373,14063,24224.67,30525.3,29024.5,3625,39169.83,45209.5,32023.5,22457.33,84881.84,36593.34,42995.33,5555,52660.67,50247.83,47043,35115.5,50718.67,47462.83,53722.33,28811.33,41920,50026.67,39120.33,57936.33,46612.67,45329,16564.5,47582.17
"K13829",5260.17,10776.34,8314.17,4279.67,43502.33,39533.66,37802,28246.34,17700.16,15787.17,0,4601,11363.01,11680.33,11411,2058,16270.5,21274.67,13930.49,13630.83,4141.17,16555.33,4187.5,1249.33,43217.5,38785.17,38243.34,29209,37487.33,40015.34,33113.5,22273,36784.66,38026.33,31764.5,42750.16,39119.16,37205.66,8653.67,36451.5
"K13831",0,0,0,0,0,0,0,167,0,87,0,0,0,222,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0
"K13832",7921.67,9980.5,7022.33,11603,13191.5,12663.5,10087.5,6551.67,19371.84,16181.33,5776,17156,11731.67,17432,15153,6929.5,17809.83,18938.5,18019,13284.83,4186,20166.34,5124,4958,12345.67,13518.83,11272.5,8287.5,13139.67,12477.33,12108.83,7865.83,11214.5,12315.17,8731.83,14031.83,12597.67,12576,4276,13139.17
"K13853",8894,13775,12956.7,8780.75,7283,8095.6,3197.4,4701.4,14643.4,10061.3,2819,4843.65,6882.8,8314.75,9057.6,2386,12929.75,15090,14892.8,9249.4,5607,16113.9,4236.5,13476,8617.6,9299.6,6959.25,4368.6,5673.47,7189.8,7294.2,4826,8102.8,7733.8,6227.2,10084.33,10136.8,7376.8,3959.8,8680.07
"K13873",0,0,0,0,0,0,0,0,1962,1044,0,1166,0,709,1915,0,0,1954,1648,0,2046,0,0,0,0,0,0,0,0,0,0,0,1164,0,0,0,0,0,0,0
"K13874",1366,645,1211,0,817,769,642,0,3111,1749,0,2341,1457,709,1915,0,0,4318,2084,463,940,1459,0,0,995,938,788,1399,1059,726,864,592,0,843,701,3161,1059,1018,444,0
"K13875",1366,645,1211,0,0,180,0,0,3111,1044,0,2332,0,709,2480,0,0,5748,1648,0,1880,103,0,0,995,0,0,793,0,0,0,0,0,0,0,1492,0,0,444,0
"K13876",0,0,0,0,0,0,0,0,2755,1044,0,1166,0,709,1915,0,0,1954,0,0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K13888",6877.5,5881,6258,841,1882.5,580,370.5,431,6560.5,293,0,0,929,3693.8,1981,459,372,4274.5,5020,2413.5,3120,2821,560,0,2558.5,1134,596.5,1854,2320,434.5,2568.5,264,1893,1249.5,1973.5,3871,1501,391,888,628
"K13889",3535,2336,1211,0,1555,678,943,835,1962,1044,0,1166,1457,2121.3,1915,0,0,1954,0,988,988,1459,23,0,1553,761,522,1201,0,682,0,631,646,667,723,2087,1045,599,444,698
"K13890",3609.5,2477,1211,0,1555,678,943,835,2037.5,1115,0,1166,1457,2204.8,1915,0,0,3018,0,1046.5,1647,1459,23,0,1553,761,718,1201,0,682,268.5,631,1674,994,1058.5,2087,1264.5,599,444,921.5
"K13891",3535,2336,1211,0,1555,678,943,835,1962,1044,0,1166,1457,2121.3,1915,0,0,1954,0,988,988,1459,23,0,1553,761,522,1201,0,682,0,631,646,667,723,2087,1045,599,444,698
"K13892",3535,3277,1211,0,1555,678,943,835,1962,1044,0,1166,1457,2121.3,1915,0,2010,3466,855,1854,2555,1459,1197,0,1553,761,522,1201,454,682,571,631,2145,667,723,2172,1045,599,444,698
"K13893",14495,17266,11766,11317,67591,64177,57150.5,44437,26278.5,23123.5,2686,14098,21631,20232.3,18645.5,4116,25617,27154,22770.5,17875,80381.34,20885,39192.33,2510,60913.5,56496.5,56749.5,44242.5,59901,60543.5,53762,40347,57667,55334.5,48972.5,66260,60975.5,58153,22179,56346
"K13894",9015,12322,7624,7242,35637,33223,29998.5,22636,16556.5,13808.5,1343,8218,12543,13559.3,12133.5,2058,17913,15987,14931.5,11071,74973.34,12347,34858.33,2510,32412.5,29820.5,30301.5,22885.5,31799,32072.5,31231,21940,30012,29252.5,25162.5,35189,31893.5,30154,15751,29273
"K13895",9015,12322,7624,7242,35637,33223,29998.5,22636,16556.5,13808.5,1343,8218,12543,13559.3,12133.5,2058,17913,15987,14931.5,11071,74973.34,12347,34858.33,2510,32412.5,29820.5,30301.5,22885.5,31799,32072.5,31231,21940,30012,29252.5,25162.5,35189,31704.5,30154,15751,29273
"K13896",9015,12322,7556,7242,35637,33223,29998.5,22636,16132.5,13586.5,1343,8218,14000,13828.3,12133.5,2058,17445,16198,14521.5,10766,74764.34,13528,34858.33,2373,33345.5,29702.5,30606.5,22885.5,31573,32042.5,31122,22105,29947,29252.5,25124.5,34875,31574.5,29979,15679,29273
"K13919",0,4060,0,0,62,0,0,0,1122,1150,856,0,0,0,1504,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K13920",0,4060,513,0,0,0,0,0,1575,1979,856,0,0,381,2124,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K13921",0,319,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,0,0,649,822,0,0,0,0,755,0,0,0,0,0,594,0,0,0
"K13922",0,1276,0,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1448,0,0,2596,3288,0,0,0,0,3020,0,0,0,0,0,2376,0,0,0
"K13924",3887.34,8326,4030.67,3931.67,13137.83,9739.66,8962.83,6070.68,17378.5,12242.17,1343,9061,7215.01,14649.33,9985.16,36,13971,19086.84,9755.82,9001,71520.68,10696,32719.33,3525.33,10101.67,9391.33,9593.67,8521.17,11550,7684,14652,6165.83,8571.66,9589,8053.33,12091.99,11152.66,10548.33,1529.34,9738.84
"K13926",3763,5136,2615,2649,25617,22870,21917.5,16700,9135,7383,0,2968,4955,6375.3,7414,2517,6630,8091,8080,5117,2691,7314,585,0,22685,20536.5,20354,15585,20167,23033,18262,14126,22854,18848,17231,22299,25603,20079,4959,20017
"K13927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K13928",0,0,0,0,0,0,0,0,0,0,0,1166,0,0,565,0,0,1954,0,0,1602,0,562,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0
"K13929",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,1318,563,0,978,537,0,0,0,1308,0,0,2005,725,594,444,261
"K13930",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,1318,563,0,978,537,0,0,0,1308,0,0,2005,725,594,444,261
"K13931",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,995,0,0,978,0,0,0,0,1028,0,0,2005,272,0,444,261
"K13932",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,1318,563,0,978,537,0,0,0,1308,0,0,2005,725,594,444,261
"K13933",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,1318,563,0,793,537,0,0,0,1308,0,0,2005,453,594,444,0
"K13934",1366,645,1211,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,3102,1648,0,3008,1459,562,0,1318,563,0,978,537,0,0,0,1308,0,0,2005,725,594,444,261
"K13935",0,0,0,0,0,0,0,0,1962,1044,0,1166,1457,709,1915,0,0,2141,0,0,1602,1459,562,0,0,0,0,185,0,0,0,0,0,0,0,350,272,0,0,261
"K13938",0,0,0,0,795,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,662,0,562,0,0,0,0,0,0,615,0,0,0,0,321,350,267,0,421,0
"K13940",3297,9010,465,4512,4212,4123.5,3849.89,3326,3761,2975.5,854,1402,2145,1554,0,0,2084.5,3491,2045.5,1756,4338.5,5162,5180,0,4645,4740,4815,3664,4168,3673,5841,4559.5,3289.5,5720,7698,4709.5,5535,5462,4270,4845.89
"K13941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
"K13950",2090,4798,4052,1522,5612,3624,2874.83,3126.5,4533,3136,0,3896,2825.33,0,0,0,3722,3788,4276,2484,0,2402,0,0,3906.83,3763.67,3602,4151.17,5000,3544,4500,0,4054,4220,0,5056,2562,5971.67,0,4063.33
"K13953",39523.5,60359.5,37744.67,30888.75,69377.33,62911,59405.66,45052.17,68120.83,67858.84,11062,41346.75,44228.83,52456.38,52638.5,16530,67551.25,77481.84,61255.84,53809.17,28981.85,61612.33,23136.66,20125,71104.5,65844.17,62072.42,46921.84,73156.5,61788.17,65492.5,39493.67,65528.33,65411.33,52716.5,75424.99,72249.99,62082,14700.67,66257.5
"K13954",875.67,1733.17,1056.83,1457.5,3307.5,1840.5,1505.39,1086.67,4050.67,2562.33,0,1183,1950.84,1828.8,934.67,36,4437.66,3936,3145.67,1766.66,490,3484.84,1100.5,683,1681.17,1978,1652.67,1830.5,3076,1654.5,1881.33,792.83,1459.5,1991.67,1618.83,2528.16,1938.67,1306.33,255.5,2701.06
"K13955",2026,1987,819.5,307.75,0,0,0,0,2315,1552.5,0,798.25,1349,2840.75,1643,0,2111.75,2336,2204,1552,0,3655.5,1679.5,3027,0,0,202.25,365,393,0,0,0,0,0,0,0,272,0,0,261
"K13963",2696.5,1800.82,1170.18,0,2823,3268,2999.32,2283.68,3449.82,2535.67,0,1336.5,1478,2975,1014.82,0,2216,2754.68,2431.5,1523.18,1489.85,4049.82,227,860,4605,3132,3547,2278.68,4200.32,2618,3408.18,1489.5,2966,3499,3244.5,4110.32,3319.32,3342,1247.68,4496.68
"K13967",0,0,0,0,0,0,0,0,0,0,0,0,1556,0,0,0,647,1068,0,968,48,0,23,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0
"K13979",24856.67,39353.83,24685.5,21489,13399.5,13564.17,11117.66,9612.84,40619.84,32596.5,5952,24019,24402.83,34315.63,29267.83,9968.5,43903.5,46401.84,38151.67,25120.17,77429.01,38034.67,39906.33,16703,14118.5,14215,11648.17,9776.84,16960.17,12330,24578.5,7655.33,10045.5,15347.17,6644.33,18929.66,15748.83,12364.67,3871.67,14697.67
"K13990",8571,8537.5,7132,11180,13590.5,13573.5,11331.5,7645,17518.5,14253,5952,16865,12205,16635,14943,7009.5,15250.5,17194.5,15930,12567.5,3787,19422,5109,5703,12620,13746.5,12273.5,8276.5,12688,12014,12213.5,8315.5,11772.5,12175.5,9353.5,14167.5,11999,12641,6561,12530.5
"K13991",0,0,0,0,0,0,382,0,0,0,0,0,0,474,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,229,0,0,0,0,0,0,0,0
"K13992",0,0,207.5,73,0,128,382,0,831.33,720,0,0,613.67,940.5,269.67,0,619.33,799,513.17,527.33,199,517,249.5,61,168.5,172.17,377.67,0,190.33,90.67,142,229,0,145,0,183.83,0,71.33,0,0
"K13993",89542.68,121565.85,83869.17,77240.76,146232.65,136703.31,119601.39,82296.52,168414,149895.35,22066,100603.75,101690.52,128189.07,115462.33,28005,143919.59,174456.51,137132.3,123612.16,117969.68,146383,80773.33,56617.99,146794.34,143014.33,128506.26,89800.5,142051.52,134912.84,139631.82,84284.17,130801.64,140123.32,105447.33,161696.14,145760.81,128663.99,38944.84,140613.56
"K13995",0,4060,0,0,665,678,943,404,1122,1150,856,2332,1457,474,2634,0,369,4858,0,525,2559,1356,0,0,558,761,827,408,471,682,0,860,646,667,723,510,1045,599,0,698
"K14028",0,0,0,0,5854,5244,5769,3522,0,829,0,0,0,0,486,0,0,786,0,0,0,0,0,0,6542,6624,5625,3304,4470,5972,5385,3052,6062,5075,3937,6336,5666,4768,1989,5499
"K14029",0,0,0,0,5854,5244,5769,3522,0,829,0,0,0,0,486,0,0,786,0,0,0,0,0,0,6542,6624,5625,3304,4470,5972,5385,3052,6062,5075,3937,6336,5666,4768,1989,5499
"K14048",527,3978.33,564.67,404,1155.5,670.17,465.16,1000.17,1626,1696.67,176,729,1832.16,1309.33,684.33,116,11877.17,4773.34,9769.67,3037.34,2343.67,915.33,1312,736,1172.83,587.67,983.67,1020.84,1135.5,792.67,915.67,340,1195.5,569,307,1464.33,4935.16,1052.67,236.67,1244
"K14051",0,0,0,0,0,0,0,0,1962,1044,0,0,0,710.3,1350,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14052",0,1424,823,0,0,759,0,0,1004,1275,0,0,0,1258.3,1077,0,978,1635,1721,1054,727,1628,0,0,0,0,0,0,0,347,0,0,0,0,0,0,1239,936,0,895
"K14053",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14054",0,0,470,0,0,0,0,0,1036,423,0,0,660,187.3,0,0,834,1223,251,305,0,175,108,0,0,61,0,0,76,228,0,0,0,0,0,415,295,0,0,0
"K14055",0,0,0,0,0,180,0,167,0,0,0,0,0,179.8,0,0,0,0,0,0,662,0,562,0,106,0,0,0,0,0,0,0,182,0,0,350,189,0,0,0
"K14056",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14057",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,961,0,0,659,0,0,0,0,0,0,0,0,0,0,0,1028,0,0,0,0,0,0,0
"K14058",4485.5,9140.33,4872.17,3571,10159.5,10832.5,8501.83,6008.67,13495.33,10333,176,5144.5,9537,8339.3,5143.33,978.5,15245.5,12877.17,11555,7133.67,74601.01,8066.83,33067.33,3847,10430.5,10734.5,10941,7516.67,13358.5,9507.5,18102.67,7666,10059.5,11080,7831.5,14440.16,11437.83,11150,2833.67,11746.84
"K14059",74.5,6029,513,0,200,211,0,0,1088.5,71,0,0,671,1271.8,620,0,366,659,0,58.5,187,501,0,0,267,341,452,193,314.67,510,560.5,226,243,545,554.5,353.33,479.5,0,0,540.17
"K14060",0,0,0,0,0,0,0,0,1962,1044,0,2332,0,710.3,2480,0,0,3908,0,0,1880,103,0,0,0,0,0,0,297,0,0,0,0,0,0,214,0,0,0,0
"K14061",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14062",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14063",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14064",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14067",0,0,0,0,6671,6013,6411,3522,488,3208,0,1175,1811,391,486,0,0,1310,0,1248,0,1501,0,0,6542,7562,6413,3910,5529,6698,6249,3644,6062,6449,4638,8005,6725,5786,1989,5499
"K14080",0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,478,0,0,0,0,594,288,0,0,0,0,0
"K14083",0,0,0,0,6536,6678,5667,557,110,5640,0,9400,0,0,0,0,0,4369,0,0,4647,0,0,0,719,7504,7023,5355,9144,6429,7482,4736,0,7405,5608,13974,8980,8832,0,4414
"K14086",511,760.5,446,941.5,111.5,0,0,0,1022,806,0,652,660.5,736,665,0,735,1010,985,127,0,968.5,436,622,0,0,0,0,0,0,0,126,0,0,0,317,0,0,0,0
"K14087",511,645,446,823,0,0,0,0,1022,806,0,652,618,736,665,0,735,868,985,0,0,873,436,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14088",511,760.5,446,941.5,0,0,0,0,1022,806,0,652,618,736,665,0,735,945.5,985,127,0,873,436,622,0,0,0,0,0,0,0,126,0,0,0,317,0,0,0,0
"K14089",511,645,446,823,0,0,0,0,1022,806,0,652,618,736,665,0,735,868,985,0,0,873,436,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14090",511,760.5,446,941.5,0,0,0,0,1022,806,0,652,618,736,665,0,735,945.5,985,127,0,873,436,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14091",511,645,446,823,0,0,0,0,1022,806,0,652,618,736,665,0,735,868,985,0,0,873,436,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14109",0,0,0,0,513,318,507,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0,0,0,333,0,0,669,0,0,0,0,0,0,0,387
"K14126",0,370,646.5,118.5,489.5,0,0,0,978,263.5,0,165.5,582.5,0,221.5,0,935,893,385.5,455.5,0,399,0,0,0,0,90,0,0,371,167.5,147,0,329,0,268,295,0,0,257
"K14127",0,115.5,402,118.5,111.5,0,0,0,832,0,0,0,582.5,0,0,0,648,1070,0,127,0,95.5,0,0,0,0,0,0,0,228,0,0,0,0,0,268,295,0,0,0
"K14128",0,370,646.5,118.5,489.5,0,0,0,978,263.5,0,165.5,582.5,0,221.5,0,935,893,385.5,455.5,0,399,0,0,0,0,0,0,0,228,167.5,0,0,0,0,268,295,0,0,257
"K14136",1290,3360,1744,0,4607,4054,3809,2850,3627,4026,0,1402,4274,3456,2668,1967,2570,4403,1911,2940,0,1601,1117,6191,4569,4848,4366,3014,4345,4270,4799,2668,3878,4369,3692,5220,7471,4559,4270,4674
"K14138",0,115.5,0,118.5,276.5,0,0,0,110,0,0,0,42.5,0,0,0,0,319,0,127,0,95.5,0,0,0,0,0,0,478,43,0,0,0,115,288,0,0,0,0,0
"K14152",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,0,0,0,0,0,0,0,0,810,0,0,0,765
"K14153",0,0,0,0,1512.66,1262.66,968,0,1149,0,0,0,0,0,0,0,0,1840,0,0,0,0,0,0,1704.34,1815.66,1338.66,0,1594.34,1504.66,1385.66,2181.34,1680.66,1516.66,0,1532.66,1729.66,594,0,1407.5
"K14155",15918,31776.67,18289.2,14785.75,14689.83,11488.1,7455.12,7378.9,29437.4,17100.97,4529,14004.65,12381.63,10419.88,11210.27,2640,31292.25,24632.17,31009.64,16640.4,11380,29341.4,10002,13963,13720.6,15387.77,12851.92,9393.77,15473.64,12099.47,14094.53,8866.67,13576.63,14686.63,13124.2,17928.49,17526.96,14620.8,4452.8,14894.29
"K14160",11560,19915.5,11172.5,9779,36524.5,34468,31141.5,23137,26624,19479,1343,14410.5,23146,17691.5,15364.5,3473,24083.5,30165,22266.5,14899.5,146753.18,16565.5,67282.66,6648,35246.5,32127,32942.5,24837,35261,33727.5,42626.5,25112,30972,30974.5,26717,37177,33839.5,32851,15980,32374.5
"K14161",24544.5,37629.33,24461.17,23781,56200.33,51743.33,47144.83,34139.67,51894.33,41359,7973,37016.5,40910,41052.5,32720.83,12333.5,45686,58713.67,43658,33196.67,156287.35,44819.83,77643.66,16703,54647.17,52373.33,50696.33,39596.17,54603,51602.33,63225,35337.17,46899.33,51529.33,43874.5,58352.66,54316.16,52794,21885.17,52031.17
"K14162",46423,58811.33,39838.17,34951,77308.83,72183.5,66842.66,49952.17,74296.5,64985.67,10030,46338.5,54499.16,55233.83,52039.83,14999.5,66437.17,85616.34,61513.67,54241.84,162839.35,66435.83,82958.66,22529,80808,74328,71809,55347.34,79917.17,69824,84019.5,48636.17,69631.83,73587.33,62124,83569.66,74211.49,70034.67,27900.17,75954.5
"K14164",0,130,486,0,720,321,0,0,623,0,0,0,531,235,124,0,290,1000.5,257,246,0,196,560,0,657,861,765,0,695,764,451,0,0,617,0,720,726,509,301,868
"K14165",226.67,767.33,344,743,2685,432.33,600,186,746.67,1712,0,951,222.67,944,578,36,725.33,567.33,556.33,793.33,245,491.67,302,179,561,895,746,1414,871,730,652,0,328.67,297,456,388,804,677,23.33,803
"K14166",4822.67,11070.34,5509.5,6490.42,8665.49,8641.49,7365.33,5173.67,10050.67,12884.84,2199,6424.25,8229.83,7795.41,4347,0,5393.59,14182.67,8174.99,6496,4313.34,8821.5,4177.83,279.33,7855,7198,8814.25,6262.67,8545.18,7321,10775.99,6501.34,8666.82,9016.99,5940,8881.66,10929.82,7552.67,4270,8306.99
"K14170",12182.34,14786,11778.67,10715.67,18806.33,16108.16,13344.72,9748.68,20569.5,19390,176,14054,12470.01,18084.13,12473.66,1569,23911,23476.84,20591.82,16018,9439.84,19108.5,8751,7535.33,19397.67,18523.83,14455.67,12531.67,17267.5,18492.5,15989,10474.83,15815.16,17698,13599.83,20771.49,20153.66,15530.33,6453.84,18324.23
"K14187",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,499,389,494,0,0,0,0,0,0,0,0,0,593,0,0,0
"K14188",282,3175,2525.7,519.75,1103,2041.6,638.4,1287.4,2410.4,3107.3,0,1143.65,670.8,1575.75,2674.6,0,2584.75,3878,4045.8,2623.4,1454,3544.9,384.5,0,1771.6,1990.6,656.25,582.6,1342.8,1778.8,1733.2,425,843.8,1182.3,645.2,1049,3039.8,2366.8,359.8,2276.4
"K14189",9194,7678,6386.5,9760,1643,2056,1730,1181,10730.5,9068.5,5776,14338,7670,13368,10039,6490,10369,11776,11110,7269,7058,17446,6401,3649,1686,2349,1371,2173,2002.67,1245,1651,1238,2607,1867,1841,3784.33,2174,1669,1185,1987.67
"K14201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14205",4149.84,12915.51,6987.87,5143.09,9461.16,10156.42,7513.96,6602.41,14311.73,11885.14,0,7857.15,8465.48,12422.41,10843.93,0,13416.59,18336.67,13827.94,10206.23,73260.01,10777.73,33836.83,2788.66,10856.6,10995.1,9383.59,6875.43,11872.47,8726.64,15569.03,7514,11121.62,10359.96,8370.7,13380.83,11890.79,11196.46,4996.97,9758.12
"K14215",0,0,513,0,0,0,0,0,1221,1261,0,0,1261,1902,620,1967,1099,1181,0,1311,0,0,0,4658,0,0,126,92,0,0,604,0,0,0,0,0,0,0,0,0
"K14257",0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0
