"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"113573"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96041919535806e-05	0	0	0
"877952"	0	4.53699922871013e-05	0.000121491920787268	0	0	0	6.52954619653934e-05	4.11827691293963e-05	0.000139928636395438	6.50068257167002e-05	7.21787144970948e-05	8.0450522928399e-05	4.94657696873763e-05	8.92283532015133e-06	0	4.28265524625268e-05	0	0	0	0	0	0	0	2.96041919535806e-05	0	0	0
"24886"	0	0	6.07459603936338e-05	0	0	3.78873986512086e-05	3.26477309826967e-05	0	0	0	0	0	4.94657696873763e-05	0	8.44772967265047e-05	0	0	0	0	0	0	3.53419332037462e-05	0	0	0	0	0
"554377"	0	0	0	0	0	0	3.26477309826967e-05	0.000123548307388189	0	3.25034128583501e-05	3.60893572485474e-05	0	4.94657696873763e-05	0	8.44772967265047e-05	0	0	3.10761676870008e-05	0	4.85861432319502e-05	3.69058163566578e-05	0	4.7395611166406e-05	0	0	3.67728175332794e-05	0
"818562"	0	4.53699922871013e-05	0	0	0	0	3.26477309826967e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"327197"	0	0	6.07459603936338e-05	0	0	0	0	0	0	0	0	0	0	1.78456706403027e-05	0	4.28265524625268e-05	0	0	0	0	0	0	0	0	0	0	0
"154270"	0.00066528681253696	0.000862029853454925	0.00078969748511724	0.000567429544164933	0.00104295060206694	0.000189436993256043	0.000750897812602024	0.000741289844329133	0.000559714545581753	0.000942598972892154	0.000938323288462233	0.00080450522928399	0.000890383854372774	5.3537011920908e-05	0.000971488912354805	0.00012847965738758	0.000543443513841826	0.000528294850679014	0.000465564829902564	0.000534447575551453	0.000885739592559787	0.000388761265241209	0.000995307834494526	0.000799313182746677	0.00036468521035706	0.000220636905199676	0.000599425813168439
"821559"	0.000813128326434063	0.000408329930583912	0.00121491920787268	0	0	0	0.00385243225595821	0.00127666584301128	0.00104946477296579	0.000487551192875252	0.00104659136020787	0.00245374094931617	0.00054412346656114	1.78456706403027e-05	0.000802534318901795	8.56531049250535e-05	0	0	0	0	0	0	0	0	0	0	0
"134616"	7.39207569485512e-05	0	6.07459603936338e-05	0.000220667044953029	0.000221231945892987	7.57747973024172e-05	0	0	0	0	3.60893572485474e-05	0	0	0	0	0	9.59017965603222e-05	0.000124304670748003	0.000133018522829304	0	0.000110717449069973	0.000247393532426224	0.00023697805583203	0.000118416767814323	9.94596028246527e-05	7.35456350665588e-05	0.000220841089062056
"334906"	0.000295683027794205	0.00036295993829681	0.000364475762361803	0.000220667044953029	3.16045636989981e-05	0	0.000326477309826967	0.000288279383905774	0.000139928636395438	0.000227523890008451	0.000505251001479664	0.000241351568785197	0.00054412346656114	8.92283532015133e-06	0.000211193241816262	4.28265524625268e-05	6.39345310402148e-05	0.000155380838435004	3.3254630707326e-05	0.000194344572927801	3.69058163566578e-05	3.53419332037462e-05	4.7395611166406e-05	2.96041919535806e-05	0.000132612803766204	0.000110318452599838	0.000157743635044326
"2650464"	0	0	0	0	0	0	0	0	0	3.25034128583501e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"1111320"	0	9.07399845742026e-05	0	0	0	0	3.26477309826967e-05	8.23655382587925e-05	0	0	7.21787144970948e-05	0	4.94657696873763e-05	0	4.22386483632524e-05	0	0	0	0	0	0	0	0	0	0	0	0
"44246"	0	0	0	3.15238635647185e-05	0	3.78873986512086e-05	0	4.11827691293963e-05	0	0	0	0	0	0	0	0	6.39345310402148e-05	3.10761676870008e-05	0	9.71722864639005e-05	0	0	0	0	0	7.35456350665588e-05	0
"4429835"	0	0	0	0	3.16045636989981e-05	7.57747973024172e-05	0	0	0	0	0	0	0	0	0	0	0.000159836327600537	9.32285030610025e-05	6.6509261414652e-05	0	3.69058163566578e-05	7.06838664074925e-05	0	5.92083839071613e-05	0	0	3.15487270088652e-05
"578392"	0	0	0	3.15238635647185e-05	0	0	0	0	0	0	3.60893572485474e-05	0	0	0	0	0	3.19672655201074e-05	3.10761676870008e-05	0	0	3.69058163566578e-05	0	0	2.96041919535806e-05	0	0	6.30974540177304e-05
"513586"	0	4.53699922871013e-05	0	0	0	0	3.26477309826967e-05	0.000164731076517585	0.000489750227384034	3.25034128583501e-05	0.00014435742899419	0.000160901045856798	0.000197863078749505	4.46141766007567e-05	0	2.14132762312634e-05	6.39345310402148e-05	6.21523353740017e-05	0	0.000145758429695851	0	0	0	2.96041919535806e-05	3.31532009415509e-05	0	3.15487270088652e-05
"650499"	0	0	0	3.15238635647185e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"223441"	0	0	0	6.3047727129437e-05	0	7.57747973024172e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53419332037462e-05	0	0	0	0	0
